File Name,Scan Method,Image Number,Replicate Number,Visit Number,Shoe Number,Shoe Make/Model,Shoe Size,Worker Names,Shoe Color,Foot
031386R_20180319_2_1_2_csafe_bpbryson.tiff,2D Scanner,1,2,2,31,Nike/Winflo 4,10 M,csafe_bpbryson,Athracite/dark grey-black,R
138432R_20180509_2_2_2_jekruse.tiff,2D Scanner,2,2,3,138,Adidas/Seeley,10.5 M,jekruse,Black,R
142930L_20180221_2_2_2_csafe_tpashek.tiff,2D Scanner,2,2,1,142,Nike/Winflo 4,8 W,csafe_tpashek,Glacier-grey/black-anthracite,L
100845L_20180502_2_1_2_tiltonm.tiff,2D Scanner,1,2,3,100,Adidas/Seeley,7.5 W,tiltonm,Grey,L
124799L_20180111_2_1_1_csafe_boekhoff.tiff,2D Scanner,1,1,0,124,Nike/Winflo 4,8 W,csafe_boekhoff,Black/white-dark grey,L
134336R_20180502_2_1_2_jekruse.tiff,2D Scanner,1,2,3,134,Nike/Winflo 4,8 W,jekruse,Black/white-racer pink,R
040639L_20171106_2_1_1_csafe_tpashek.tiff,2D Scanner,1,1,0,40,Nike/Winflo 4,8 W,csafe_tpashek,Black/white-dark grey,L
156625R_20180221_2_2_2_csafe_dtmartin.tiff,2D Scanner,2,2,1,156,Adidas/Seeley,10 M,csafe_dtmartin,Black,R
032520L_20180319_2_1_1_csafe_bpbryson.tiff,2D Scanner,1,1,2,32,Nike/Winflo 4,10 M,csafe_bpbryson,Binary Blue/white-black,L
159717R_20180404_2_1_1_csafe_hanrahan.tiff,2D Scanner,1,1,2,159,Adidas/Seeley,7.5 W,csafe_hanrahan,Black,R
006533L_20180411_2_2_1_csafe_jekruse.tiff,2D Scanner,2,1,3,6,Nike/Winflo 4,10 M,csafe_jekruse,Black/white-dark grey,L
130829R_20180111_2_1_2_csafe_boekhoff.tiff,2D Scanner,1,2,0,130,Nike/Winflo 4,8.5 W,csafe_boekhoff,Black/white-dark grey,R
127413L_20180221_2_1_1_csafe_hanrahan.tiff,2D Scanner,1,1,1,127,Adidas/Seeley,7 W,csafe_hanrahan,Black,L
119777L_20180328_2_2_2_csafe_boekhoff.tiff,2D Scanner,2,2,2,119,Nike/Winflo 4,8.5 W,csafe_boekhoff,Black/white-dark grey,L
014318R_20171030_2_1_1_csafe_tpashek.tiff,2D Scanner,1,1,0,14,Nike/Winflo 4,8.5 W,csafe_tpashek,Glacier-grey/black-anthracite,R
046560R_20180307_2_1_1_csafe_boekhoff.tiff,2D Scanner,1,1,2,46,Nike/Winflo 4,8.5 W,csafe_boekhoff,Glacier-grey/black-anthracite,R
043442R_20180214_2_1_1_csafe_jekruse.tiff,2D Scanner,1,1,1,43,Nike/Winflo 4,10 M,csafe_jekruse,Black/white-dark grey,R
106090L_20180502_2_1_2_tiltonm.tiff,2D Scanner,1,2,3,106,Adidas/Seeley,7.5 W,tiltonm,Black,L
026973R_20180305_2_1_1_csafe_bpbryson.tiff,2D Scanner,1,1,2,26,Nike/Winflo 4,10.5 M,csafe_bpbryson,Black/white-dark grey,R
