"Shoe Number","Visit Drop of Number","Engaged in Activities","Hours spent per Week","Anticipated Participation","Number of Steps","Notes","Hours Worn per Week","Hours Worn per Week Range10","Percent Time in Study Shoes of Total Time Wearing Shoes","Grassy Surfaces","Grassy Surfaces Clean","Indoor Surfaces","Indoor Surfaces Clean","Rocky Surfaces","Rocky Surfaces Clean","Muddy or Other Wet Surfaces","Muddy or Other Wet Surfaces Clean","Pavement Cement or Similar","Pavement Cement or Similar Clean","Sport Activities","Sport Activities Clean","Walking","Walking Clean","Dancing","Dancing Clean","Climbing","Climbing Clean","Hiking","Hiking Clean","Biking","Biking Clean"
"41","2","""Walking, Climbing, Hiking""","More than 6 hours per week","Once to three times a week","143673","""NA""","7","0-10","0-20%","0.15","15","0.3","30","0.05","5","0.1","10","0.4","40","3","50","3","50","0","0","0","0","0","0","0","0"
"152","3","""Sports activities, Walking, Climbing, Hiking""","3-6 hours per week","All the time","757117","""rolled over 3 times""","40","31-40","40-60%","0.1","10","0.4","40","0","0","0.1","10","0.4","40","4","57.14285714","3","42.85714286","0","0","0","0","0","0","0","0"
"109","0","""""","","","0",""""""
"104","3","""Walking""","3-6 hours per week","4-6 times a week","558650","""NA""","8 hours a day","NA","80-100%","yes","-50","yes","-50","0","0","0","0","yes","-50","yes","-50","yes","-50","0","0","0","0","0","0","0","0"
"55","2","""Sports activities, Walking, Dancing, Climbing, Hiking""","More than 6 hours per week","All the time","201024","""2 rollovers""","40","31-40","60-80%","20.0","20","35","35","5","5","10","10","30","30","6","30","6","30","3","15","2","10","3","15","0","0"
"97","3","""Walking""","3-6 hours per week","All the time","459203","""NA""","40","31-40","60-80%","0-20","12.5","60-80","87.5","0","0","0","0","0","0","2/wk","16.66666667","daily","58.33333333","0","0","0","0","0","0","3 times/wk","25"
"70","0","""""","","","0",""""""
"148","2","""Sports activities""","3-6 hours per week","4-6 times a week","810631","""NA""","10","0-10","20-40%","0.0","0","0.9","90","0","0","0","0","0.1","10","7 to 9 ","72.72727273","2","18.18181818","0","0","0","0","0","0","1","9.090909091"
"32","1","""Sports activities, Walking, Hiking""","1-3 hours per week","Once to three times a week","122085","""""Rolled over 1 time""""","20"," 11-20","20-40%","0.05","5","0.4","40","0.05","5","0.1","10","0.4","40","2 to 3","33.33333333","3","40","0","0","1 to 2","20","0 to 1","6.666666667","0","0"
"7","3","""Walking""","More than 6 hours per week","4-6 times a week","183958","""NA""","12"," 11-20","0-20%","10.0","10","40","40","0","0","10","10","40","40","0","0","5","50","0","0","0","0","0","0","5","50"
"49","1","""Walking""","3-6 hours per week","4-6 times a week","186281","""Rolled over at 60,000""","30","21-30","40-60%","0.05","5.050505051","0.4","40.4040404","0.02","2.02020202","0.02","2.02020202","0.5","50.50505051","0","0","6","100","0","0","0","0","0","0","0","0"
"45","2","""Sports activities, Walking""","1-3 hours per week","Once to three times a week","257649","""NA""","12"," 11-20","40-60%","0.0","0","0.2","20","0","0","0.05","5","0.75","75","yes","-50","yes","-50","0","0","0","0","0","0","0","0"
"12","3","""Sports activities, Walking, Hiking""","3-6 hours per week","Once to three times a week","265279","""NA""","10 to 15"," 11-20","20-40%","0.025","2.5","0.85","85","0","0","2.50E-02","2.5","0.1","10","2","50","2","50","0","0","0","0","0","0","0","0"
"136","3","""Sports activities, Walking, Hiking""","3-6 hours per week","Once to three times a week","382547","""rolled over twice""","20"," 11-20","0-20%","0.1","10","0.3","30","0","0","0","0","0.6","60","0","0","7","63.63636364","0","0","0","0","0","0","4","36.36363636"
"141","1","""Sports activities, Walking""","More than 6 hours per week","All the time","389072","""NA""","60","51-60","80-100%","10.0","10","40","40","0","0","10","10","40","40","6","40","7","46.66666667","0","0","0","0","0","0","2","13.33333333"
"143","2","""Sports activities, Walking, Hiking""","3-6 hours per week","4-6 times a week","233159","""NA""","20"," 11-20","20-40%","0.1","10","0.3","30","0.05","5","0.1","10","0.45","45","1","33.33333333","2","66.66666667","0","0","0","0","0","0","0","0"
"96","0","""""","","","0",""""""
"19","0","""""","","","0",""""""
"119","1","""Sports activities, Walking, Dancing, Hiking""","1-3 hours per week","Once to three times a week","1887","""accidentally reset--not sure what actual reading is""","24 to 30 ","21-30","0-20%","0.03","3","0.45","45","0.04","4","0.03","3","0.45","45","0","0","2","66.666666","1","33.333333","0","0","0","0","0","0"
"83","0","""""","","","0",""""""
