Test Scenario,Accuracy,Precision,Recall,F1 Score,AUC,Sensitivity,Specificity
BASELINE,0.9553,0.964,0.946,0.955,0.955,0.946,0.965
BLURRY_02,0.8651,0.807,0.96,0.877,0.865,0.96,0.77
BLURRY_04,0.9286,0.922,0.937,0.929,0.929,0.937,0.921
BLURRY_06,0.8929,0.896,0.889,0.892,0.893,0.889,0.897
BLURRY_08,0.8413,0.967,0.706,0.817,0.841,0.706,0.976
BLURRY_10,0.619,0.969,0.246,0.392,0.619,0.246,0.992
DIFF_TIME_1VS2,0.8431,0.931,0.741,0.825,0.843,0.741,0.945
DIFF_TIME_1VS3,0.7874,0.949,0.607,0.741,0.787,0.607,0.968
TOE,0.8113,0.815,0.805,0.81,0.811,0.805,0.817
HEEL,0.5778,0.548,0.895,0.679,0.578,0.895,0.261
INSIDE,0.7004,0.645,0.891,0.748,0.7,0.891,0.51
OUTSIDE,0.642,0.607,0.805,0.692,0.642,0.805,0.479
OOD,0.833,0.84,0.822,0.831,0.833,0.822,0.844
