Test Scenario,Accuracy,Precision,Recall,F1 Score,AUC,Sensitivity,Specificity
BASELINE,0.9572,0.976,0.938,0.956,0.957,0.938,0.977
BLURRY_02,0.504,1.0,0.008,0.016,0.504,0.008,1.0
BLURRY_04,0.5,0.0,0.0,0.0,0.5,0.0,1.0
BLURRY_06,0.5,0.0,0.0,0.0,0.5,0.0,1.0
BLURRY_08,0.504,1.0,0.008,0.016,0.504,0.008,1.0
BLURRY_10,0.5,0.0,0.0,0.0,0.5,0.0,1.0
DIFF_TIME_1VS2,0.8196,0.95,0.675,0.789,0.82,0.675,0.965
DIFF_TIME_1VS3,0.7368,0.968,0.49,0.651,0.737,0.49,0.984
TOE,0.8541,0.925,0.77,0.841,0.854,0.77,0.938
HEEL,0.8619,0.875,0.844,0.859,0.862,0.844,0.879
INSIDE,0.7529,0.849,0.615,0.713,0.753,0.615,0.891
OUTSIDE,0.7938,0.854,0.708,0.774,0.794,0.708,0.879
OOD,0.72,0.846,0.538,0.658,0.72,0.538,0.902
