Test Scenario,Accuracy,Precision,Recall,F1 Score,AUC,Sensitivity,Specificity
BASELINE,0.7588,0.692,0.934,0.795,0.759,0.934,0.584
BLURRY_02,0.8452,0.784,0.952,0.86,0.845,0.952,0.738
BLURRY_04,0.8849,0.844,0.944,0.891,0.885,0.944,0.825
BLURRY_06,0.9087,0.912,0.905,0.908,0.909,0.905,0.913
BLURRY_08,0.8373,0.989,0.683,0.808,0.837,0.683,0.992
BLURRY_10,0.5516,0.81,0.135,0.231,0.552,0.135,0.968
DIFF_TIME_1VS2,0.698,0.647,0.871,0.742,0.698,0.871,0.525
DIFF_TIME_1VS3,0.7652,0.722,0.862,0.786,0.765,0.862,0.668
TOE,0.6751,0.633,0.833,0.719,0.675,0.833,0.518
HEEL,0.5506,0.53,0.899,0.667,0.551,0.899,0.202
INSIDE,0.6809,0.63,0.879,0.734,0.681,0.879,0.482
OUTSIDE,0.5759,0.552,0.805,0.655,0.576,0.805,0.346
OOD,0.728,0.674,0.884,0.765,0.728,0.884,0.572
