col,km_kst,knm_kst
mean,2.5305255668683913e-9,3.3277570191836414e-4
std,0.00988534537843666,0.7682163581187025
0.1,0,-8.881784197001252e-16
0.25,0,-8.881784197001252e-16
0.5,0,-8.881784197001252e-16
0.75,0,8.100824544499119e-8
0.9,5.2240434200712116e-12,2.5137364457206157e-4
centroid_distance_n_clusters_10,0.5497574941675314,0.22734489548365877
cluster_proportion_n_clusters_10,0.4301316532949727,0.9693419835200903
iterations_k_n_clusters_10,0.9448745397633603,0.9806455497035487
wcv_ratio_n_clusters_10,0.873209072500156,0.09155846022968683
centroid_distance_n_clusters_20,0.9606556507530971,0.07740493036279106
cluster_proportion_n_clusters_20,0.8470809757403153,0.7906783896068643
iterations_k_n_clusters_20,0.8625437464903272,0.0037259255967785343
wcv_ratio_n_clusters_20,0.8614172192173631,0.3992508824701613
centroid_distance_n_clusters_50,0.6289694631634849,0.32732716375847737
cluster_proportion_n_clusters_50,0.8095922686982573,0.3009713031756036
iterations_k_n_clusters_50,0.8695384199729814,0.0017092795410533768
wcv_ratio_n_clusters_50,0.794714778659937,0.8869033613183172
centroid_distance_n_clusters_100,0.4067607742828807,0.024429203102186103
cluster_proportion_n_clusters_100,0.5245000624996607,0.8383751703251174
iterations_k_n_clusters_100,0.742190925060367,0.005075310521523768
wcv_ratio_n_clusters_100,0.704358244168982,0.027716433406598684
centroid_distance_n_clusters_500,0.29008986777094614,0.542809690350219
cluster_proportion_n_clusters_500,0.715455422586579,0.4932357989201068
iterations_k_n_clusters_500,0.386825836133491,0.04215431151812077
wcv_ratio_n_clusters_500,0.7718864464842919,0.2249987277827472
centroid_distance_n_points_per_cluster_10,1.0138397567693858e-5,0.003324388957691937
cluster_proportion_n_points_per_cluster_10,0.18061936356281372,0.41818319326557574
iterations_k_n_points_per_cluster_10,0.48365023389305173,0.46413129159497657
wcv_ratio_n_points_per_cluster_10,0.5749325044837158,0.03672336048843339
centroid_distance_n_points_per_cluster_30,0.1357453341661533,0.17539247427340454
cluster_proportion_n_points_per_cluster_30,0.1072527370535572,0.14250958423082716
iterations_k_n_points_per_cluster_30,0.9277082174896292,0.6503867091231613
wcv_ratio_n_points_per_cluster_30,0.26296262627420586,0.02167679818598023
centroid_distance_n_points_per_cluster_100,0.5222220626815011,0.7815936452065
cluster_proportion_n_points_per_cluster_100,0.4893525859639608,0.21933460745775202
iterations_k_n_points_per_cluster_100,0.7259231516651488,0.07139953899382545
wcv_ratio_n_points_per_cluster_100,0.8440325474145738,0.05293532625996189
centroid_distance_n_points_per_cluster_1000,0.7488162803689393,0.38122816725895825
cluster_proportion_n_points_per_cluster_1000,0.55527832469099625,0.9655490675074931
iterations_k_n_points_per_cluster_1000,0.6733274334034044,0.028945530793507146
wcv_ratio_n_points_per_cluster_1000,0.6511711095815351,0.7249237399486885
q_pct_threshold_1,0,-8.881784197001252e-16
k_pct_threshold_1,0,0
q_pct_threshold_2,0,-8.881784197001252e-16
k_pct_threshold_2,0,-8.881784197001252e-16
q_pct_threshold_3,0,-8.881784197001252e-16
k_pct_threshold_3,0,0
q_pct_threshold_5,6.661338147750939e-16,4.675149156696534e-12
k_pct_threshold_5,1.552180606267939e-11,5.808272751650634e-10
q_pct_threshold_10,1.6272823089025223e-8,3.902602114949083e-4
k_pct_threshold_10,5.7041500346244334e-5,7.908430213587891e-6
peak_value,7.624552839724519e-5,0.2681199025772406
MSE,0.8408824936859927,0.06793484583607912
SSIM,0.05513600473203195,0.5343893687954737
NCC,1.5945411990792024e-8,0.0025157579961903043
PSR,2.152834899353806e-4,0.02126185581510165
correlation_coefficient,1.5945411990792024e-8,0.0025157579961903043
jaccard_index_0,0,-8.881784197001252e-16
jaccard_index_-1,4.132472142259758e-12,5.340375165197031e-6
jaccard_index_-2,0.0727763061422162,0.02931329387316106
