col,km_kst,knm_kst
mean,0,1.1102230246251565e-15
std,0,1.0373701897492538e-11
0.1,2.3794576375912868e-7,7.084111075528199e-12
0.25,4.429790978477399e-10,0
0.5,0,0
0.75,0,0
0.9,0,0
centroid_distance_n_clusters_10,3.439043380515372e-6,0.09529447472155539
cluster_proportion_n_clusters_10,5.373479439185758e-13,5.848355133508676e-11
iterations_k_n_clusters_10,0.07731799669424999,0.7814843791637704
wcv_ratio_n_clusters_10,4.250631383353465e-4,3.8480023147879905e-6
centroid_distance_n_clusters_20,0.0014548193288355105,0.20038171741358024
cluster_proportion_n_clusters_20,0,0
iterations_k_n_clusters_20,0.7126822329410079,0.17764522547841344
wcv_ratio_n_clusters_20,5.980959375428974e-6,5.6570974948266795e-5
centroid_distance_n_clusters_50,0.01566712923679847,6.95190876672136e-4
cluster_proportion_n_clusters_50,0,0
iterations_k_n_clusters_50,0.01096083164891093,9.55202392192156e-5
wcv_ratio_n_clusters_50,0.02508523469473567,0.07389282757298143
centroid_distance_n_clusters_100,3.558897621047663e-11,3.828912742420698e-10
cluster_proportion_n_clusters_100,0,0
iterations_k_n_clusters_100,8.15466999137815e-6,2.8506834772623613e-5
wcv_ratio_n_clusters_100,0.004753378956249277,0.21833363130990469
centroid_distance_n_clusters_500,0,0
cluster_proportion_n_clusters_500,0,0
iterations_k_n_clusters_500,3.5759420746739323e-7,1.428744060172349e-6
wcv_ratio_n_clusters_500,7.564398050752263e-5,0.05313773077148831
centroid_distance_n_points_per_cluster_10,0.0036184298048229646,4.647860166782092e-4
cluster_proportion_n_points_per_cluster_10,0,0
iterations_k_n_points_per_cluster_10,4.556442045789977e-4,0.03651127955686906
wcv_ratio_n_points_per_cluster_10,0.0032560237323777663,0.060984352127787966
centroid_distance_n_points_per_cluster_30,0,5.0075277258088136e-11
cluster_proportion_n_points_per_cluster_30,0,0
iterations_k_n_points_per_cluster_30,0.008316251753994308,0.03117458914168658
wcv_ratio_n_points_per_cluster_30,1.4604818088237437e-7,2.9492962594357408e-5
centroid_distance_n_points_per_cluster_100,0,2.280065025672684e-12
cluster_proportion_n_points_per_cluster_100,0,0
iterations_k_n_points_per_cluster_100,3.6318874847940386e-4,0.0012327025119632795
wcv_ratio_n_points_per_cluster_100,1.637993074510291e-10,1.1345035355603272e-8
centroid_distance_n_points_per_cluster_1000,2.562605351941194e-5,0.010898006952950734
cluster_proportion_n_points_per_cluster_1000,0,0
iterations_k_n_points_per_cluster_1000,0.0012115053091253936,1.2141888548145019e-5
wcv_ratio_n_points_per_cluster_1000,5.7606321137715355e-6,1.9987847991953522e-5
q_pct_threshold_1,1.9287460517602995e-11,0
k_pct_threshold_1,1.1213252548714081e-14,0
q_pct_threshold_2,0,0
k_pct_threshold_2,5.773159728050814e-15,9.880984919163893e-15
q_pct_threshold_3,0,0
k_pct_threshold_3,1.7220669334960803e-12,4.069458949818028e-7
q_pct_threshold_5,0,0
k_pct_threshold_5,1.3856966574188334e-8,0.15722476975706046
q_pct_threshold_10,0,0
k_pct_threshold_10,0.004123549650141833,0.002698541321015102
peak_value,0,0
MSE,0,0
SSIM,0,0
NCC,2.996440982006021e-7,2.9301583781560225e-7
PSR,0,0
correlation_coefficient,2.996440982006021e-7,2.9301583781560225e-7
jaccard_index_0,2.482366534550806e-10,0
jaccard_index_-1,0,0
jaccard_index_-2,0,0
