col,km_kst,knm_kst
mean,2.6867397195928788e-14,-8.881784197001252e-16
std,5.059643430156413e-4,3.176543472704907e-10
0.1,2.2842334579387114e-7,-8.881784197001252e-16
0.25,3.239546486621947e-8,-8.881784197001252e-16
0.5,3.5185232838408353e-8,-8.881784197001252e-16
0.75,6.436318145119913e-11,-8.881784197001252e-16
0.9,1.142419492339286e-13,-8.881784197001252e-16
centroid_distance_n_clusters_10,0,-8.881784197001252e-16
cluster_proportion_n_clusters_10,0.020284926122668967,0.10930489547319322
iterations_k_n_clusters_10,0.020362650117682013,0.04297080596312608
wcv_ratio_n_clusters_10,0.5502986728469359,0.08314114893646862
centroid_distance_n_clusters_20,0,-8.881784197001252e-16
cluster_proportion_n_clusters_20,0.519573511277644,0.18988289771479183
iterations_k_n_clusters_20,0.9931508167592953,0.5537598467659859
wcv_ratio_n_clusters_20,0.09742763834064827,0.003801464060776416
centroid_distance_n_clusters_50,2.5430291206163247e-10,8.474678070413688e-9
cluster_proportion_n_clusters_50,0.2684757038250243,0.6674773294117562
iterations_k_n_clusters_50,0.001593571217829104,2.4849666350856836e-5
wcv_ratio_n_clusters_50,0.07245169886999536,6.206008861919798e-6
centroid_distance_n_clusters_100,0.009334929355491406,0.014527291731057046
cluster_proportion_n_clusters_100,0.002985230346849832,0.471039562428368
iterations_k_n_clusters_100,0.020482115741273788,3.1128122464774144e-4
wcv_ratio_n_clusters_100,0.5999320115491016,0.0160516380248934
centroid_distance_n_clusters_500,9.515779275659497e-9,-8.881784197001252e-16
cluster_proportion_n_clusters_500,0,7.838174553853605e-14
iterations_k_n_clusters_500,1.8752680112532616e-5,4.6305669065827004e-5
wcv_ratio_n_clusters_500,2.733313575475904e-11,6.940503727292935e-10
centroid_distance_n_points_per_cluster_10,0,-8.881784197001252e-16
cluster_proportion_n_points_per_cluster_10,0,-8.881784197001252e-16
iterations_k_n_points_per_cluster_10,0.9998313701389434,0.9542606884422772
wcv_ratio_n_points_per_cluster_10,0.15028555028330182,0.49902359777196836
centroid_distance_n_points_per_cluster_30,0,-8.881784197001252e-16
cluster_proportion_n_points_per_cluster_30,0,-8.881784197001252e-16
iterations_k_n_points_per_cluster_30,0.7660104438432326,0.12894238549578418
wcv_ratio_n_points_per_cluster_30,0.07024707978400946,0.23848047284696916
centroid_distance_n_points_per_cluster_100,1.1879386363489175e-14,-8.881784197001252e-16
cluster_proportion_n_points_per_cluster_100,0,-8.881784197001252e-16
iterations_k_n_points_per_cluster_100,0.6792890813323637,0.15863847068488257
wcv_ratio_n_points_per_cluster_100,0.033979700897665444,0.037357992916610794
centroid_distance_n_points_per_cluster_1000,2.9208857554863243e-11,2.2337642846537165e-10
cluster_proportion_n_points_per_cluster_1000,0,-8.881784197001252e-16
iterations_k_n_points_per_cluster_1000,0.010125305329885315,7.819535105864084e-4
wcv_ratio_n_points_per_cluster_1000,0.07532024488445077,0.18840331394422505
q_pct_threshold_1,2.9825415026607516e-8,-8.881784197001252e-16
k_pct_threshold_1,1.3912413320504857e-4,2.2480572958727407e-11
q_pct_threshold_2,3.2317202136589174e-8,-8.881784197001252e-16
k_pct_threshold_2,3.9680797209173946e-5,6.203926261605375e-13
q_pct_threshold_3,4.211342385929129e-11,-8.881784197001252e-16
k_pct_threshold_3,1.0449333524276128e-4,1.687538997430238e-14
q_pct_threshold_5,3.1596947280831955e-13,-8.881784197001252e-16
k_pct_threshold_5,9.788140936883849e-6,4.5075054799781356e-14
q_pct_threshold_10,6.661338147750939e-16,-8.881784197001252e-16
k_pct_threshold_10,1.2562284572581461e-6,2.5445608398122488e-8
peak_value,0,0
MSE,0,-8.881784197001252e-16
SSIM,0,-8.881784197001252e-16
NCC,0,-8.881784197001252e-16
PSR,0,-8.881784197001252e-16
correlation_coefficient,0,-8.881784197001252e-16
jaccard_index_0,3.934408047912008e-6,5.1514348342607263e-14
jaccard_index_-1,1.9764190284377037e-11,-8.881784197001252e-16
jaccard_index_-2,0.16145446166239819,0.007055455909130037
