col,km_kst,knm_kst
mean,2.187679196385961e-4,8.944292505086437e-6
std,0.02441242416705869,0.7537633986333186
0.1,2.734013015981418e-11,-8.881784197001252e-16
0.25,2.0674573164569665e-12,-8.881784197001252e-16
0.5,7.72715225139109e-13,-8.881784197001252e-16
0.75,1.7391887929818495e-10,-8.881784197001252e-16
0.9,1.3998465293596496e-6,2.1488691064330823e-5
centroid_distance_n_clusters_10,7.475353669406104e-12,6.447866685022063e-10
cluster_proportion_n_clusters_10,6.553798339503647e-4,2.913980168273156e-11
iterations_k_n_clusters_10,1.355138223857466e-12,5.294321647753009e-10
wcv_ratio_n_clusters_10,0.04696938649689408,2.5553843485681682e-09
centroid_distance_n_clusters_20,5.2795545713024694e-12,1.0715629423785344e-6
cluster_proportion_n_clusters_20,1.0198602018451908e-7,-8.881784197001252e-16
iterations_k_n_clusters_20,1.1102230246251565e-16,6.965012916970714e-6
wcv_ratio_n_clusters_20,0.0013166349262145882,1.4815682014557296e-10
centroid_distance_n_clusters_50,1.8281239855255649e-9,9.649868611283363e-5
cluster_proportion_n_clusters_50,9.159154035209838e-8,-8.881784197001252e-16
iterations_k_n_clusters_50,0,0
wcv_ratio_n_clusters_50,4.102309715703356e-6,-8.881784197001252e-16
centroid_distance_n_clusters_100,2.5991002683412034e-9,8.50275046149207e-7
cluster_proportion_n_clusters_100,1.2690959394490164e-11,-8.881784197001252e-16
iterations_k_n_clusters_100,0,2.3709034735475143e-11
wcv_ratio_n_clusters_100,1.5343050760430188e-4,-8.881784197001252e-16
centroid_distance_n_clusters_500,0,-8.881784197001252e-16
cluster_proportion_n_clusters_500,0,-8.881784197001252e-16
iterations_k_n_clusters_500,0,0
wcv_ratio_n_clusters_500,0,-8.881784197001252e-16
centroid_distance_n_points_per_cluster_10,2.6645352591003757e-15,4.440892098500626e-16
cluster_proportion_n_points_per_cluster_10,0,-8.881784197001252e-16
iterations_k_n_points_per_cluster_10,0,1.6935608471158048e-10
wcv_ratio_n_points_per_cluster_10,0.0010200865026666062,1.5102918915488317e-11
centroid_distance_n_points_per_cluster_30,0.0720854732995394,0.010863995453760156
cluster_proportion_n_points_per_cluster_30,0,-8.881784197001252e-16
iterations_k_n_points_per_cluster_30,0,0
wcv_ratio_n_points_per_cluster_30,8.040802542544911e-4,7.2052364075148034e-12
centroid_distance_n_points_per_cluster_100,0.047708970912233806,0.07148226279482461
cluster_proportion_n_points_per_cluster_100,0,-8.881784197001252e-16
iterations_k_n_points_per_cluster_100,0,0
wcv_ratio_n_points_per_cluster_100,0.15038496419223402,3.600407261217242e-8
centroid_distance_n_points_per_cluster_1000,0.046199305550083336,0.07175311314676847
cluster_proportion_n_points_per_cluster_1000,0,-8.881784197001252e-16
iterations_k_n_points_per_cluster_1000,0,0
wcv_ratio_n_points_per_cluster_1000,0.7777793055273239,5.708886919220113e-5
q_pct_threshold_1,4.740541292846956e-12,-8.881784197001252e-16
k_pct_threshold_1,8.881784197001252e-15,-8.881784197001252e-16
q_pct_threshold_2,9.224843111610426e-13,-8.881784197001252e-16
k_pct_threshold_2,1.2212453270876722e-15,-8.881784197001252e-16
q_pct_threshold_3,1.4577228313328305e-12,-8.881784197001252e-16
k_pct_threshold_3,1.2212453270876722e-15,-8.881784197001252e-16
q_pct_threshold_5,1.272172922561765e-9,-8.881784197001252e-16
k_pct_threshold_5,8.504308368628699e-14,-8.881784197001252e-16
q_pct_threshold_10,3.7405293795700345e-6,3.0309088572266774e-14
k_pct_threshold_10,2.0915047471703474e-11,-8.881784197001252e-16
peak_value,0,0
MSE,0,-8.881784197001252e-16
SSIM,0,-8.881784197001252e-16
NCC,0.0013235602808123748,1.7518111778969114e-6
PSR,0,-8.881784197001252e-16
correlation_coefficient,0.0013235602808123748,1.7518111778969114e-6
jaccard_index_0,1.887379141862766e-15,-8.881784197001252e-16
jaccard_index_-1,0,-8.881784197001252e-16
jaccard_index_-2,0.0022603882589282698,6.417089082333405e-14
