col,km_kst,knm_kst
mean,8.738407997199715e-9,1.1102230246251565e-15
std,3.297362383136715e-14,1.1102230246251565e-15
0.1,1.5261563124369104e-9,1.1102230246251565e-15
0.25,3.57845486576025e-9,1.1102230246251565e-15
0.5,1.541565053386762e-8,1.1102230246251565e-15
0.75,4.309315248418599e-6,1.1102230246251565e-15
0.9,2.290854159703315e-7,1.3322676295501878e-15
centroid_distance_n_clusters_10,3.36408911147279e-4,0.029295192121479463
cluster_proportion_n_clusters_10,5.9439858284493496e-5,3.5032621224539984e-4
iterations_k_n_clusters_10,0.00692602491806682,0.9081402294926126
wcv_ratio_n_clusters_10,4.139441448952619e-4,0.12550571237214703
centroid_distance_n_clusters_20,0.6891043047929135,1.1102230246251565e-15
cluster_proportion_n_clusters_20,0.014362011288848509,6.506439831355237e-11
iterations_k_n_clusters_20,0.2561151357354423,0.004045036028428539
wcv_ratio_n_clusters_20,0.003078370613407544,0.009063969322644527
centroid_distance_n_clusters_50,2.498060351907583e-7,1.1102230246251565e-15
cluster_proportion_n_clusters_50,0.004117762730903363,4.912736883966318e-13
iterations_k_n_clusters_50,0.9252928213871844,3.105827034444175e-7
wcv_ratio_n_clusters_50,0.005059233985132083,4.325470153365707e-5
centroid_distance_n_clusters_100,1.1173717218149193e-7,1.1102230246251565e-15
cluster_proportion_n_clusters_100,0.002229863404021093,1.3322676295501878e-15
iterations_k_n_clusters_100,0.00122579324159644,2.220446049250313e-16
wcv_ratio_n_clusters_100,3.776289840828895e-7,1.3543825172490642e-8
centroid_distance_n_clusters_500,2.3115798164496937e-10,1.1102230246251565e-15
cluster_proportion_n_clusters_500,4.589409548314549e-4,1.1102230246251565e-15
iterations_k_n_clusters_500,9.387676386347632e-4,0.015080441601819317
wcv_ratio_n_clusters_500,2.16249240736488e-12,1.3322676295501878e-15
centroid_distance_n_points_per_cluster_10,0.06185353221642742,0.011735148151856722
cluster_proportion_n_points_per_cluster_10,1.1102230246251565e-15,1.1102230246251565e-15
iterations_k_n_points_per_cluster_10,0.037503120742367724,0.0428727397998524
wcv_ratio_n_points_per_cluster_10,1.8056469652805163e-8,1.4537211989740229e-8
centroid_distance_n_points_per_cluster_30,4.4067967364114224e-7,1.2971974650000107e-7
cluster_proportion_n_points_per_cluster_30,1.1102230246251565e-15,1.1102230246251565e-15
iterations_k_n_points_per_cluster_30,0.06655008199492196,0.4121234846501147
wcv_ratio_n_points_per_cluster_30,6.152811593551633e-11,7.72232278123397e-11
centroid_distance_n_points_per_cluster_100,0.039515792641932945,5.440092820663267e-15
cluster_proportion_n_points_per_cluster_100,1.1102230246251565e-15,1.1102230246251565e-15
iterations_k_n_points_per_cluster_100,0.30250097694146005,1.291586393392663e-9
wcv_ratio_n_points_per_cluster_100,5.302136494300669e-7,4.2240433373308406e-11
centroid_distance_n_points_per_cluster_1000,6.176997168760856e-6,1.1102230246251565e-15
cluster_proportion_n_points_per_cluster_1000,9.916688705757792e-7,1.1102230246251565e-15
iterations_k_n_points_per_cluster_1000,0.049224067957400974,0.003936604734507521
wcv_ratio_n_points_per_cluster_1000,0.025805942256521552,0.18687862165589886
q_pct_threshold_1,8.401479512087917e-10,1.1102230246251565e-15
k_pct_threshold_1,1.3321199698879127e-10,1.1102230246251565e-15
q_pct_threshold_2,1.0814638073952665e-9,1.1102230246251565e-15
k_pct_threshold_2,1.1229283058966644e-9,1.1102230246251565e-15
q_pct_threshold_3,7.47641659692988e-8,1.1102230246251565e-15
k_pct_threshold_3,3.4748375954407607e-8,1.1102230246251565e-15
q_pct_threshold_5,9.167171872714874e-7,1.1102230246251565e-15
k_pct_threshold_5,2.0651366572366214e-7,1.1102230246251565e-15
q_pct_threshold_10,1.3301180157299086e-9,1.1102230246251565e-15
k_pct_threshold_10,9.763301278553627e-13,1.1102230246251565e-15
peak_value,0,0
MSE,1.1102230246251565e-15,1.1102230246251565e-15
SSIM,1.1102230246251565e-15,1.1102230246251565e-15
NCC,6.972650507641731e-6,1.1102230246251565e-15
PSR,1.1102230246251565e-15,2.522047015673934e-10
correlation_coefficient,6.972650507641731e-6,1.1102230246251565e-15
jaccard_index_0,1.1812772982011666e-13,1.1102230246251565e-15
jaccard_index_-1,1.3322676295501878e-15,1.1102230246251565e-15
jaccard_index_-2,0,0
