col,km_kst,knm_kst
mean,0.0836484489804934,0.14342035988021795
std,0.010866628616511553,0.011706984270735354
0.1,1.4728218644677327e-12,2.081764447492418e-7
0.25,1.0376144388146713e-12,1.841442835992524e-7
0.5,1.6410206526984439e-12,2.0102961073575898e-8
0.75,1.0461191801702796e-7,6.03289800773954e-4
0.9,0.008709426706764667,0.4354007789075033
centroid_distance_n_clusters_10,0.03753936785476597,0.010039188089758344
cluster_proportion_n_clusters_10,0.6490610072185949,0.0014067418101619822
iterations_k_n_clusters_10,0.004679536856004751,0.016555007232218144
wcv_ratio_n_clusters_10,0.5066830119905943,0.0733451502166429
centroid_distance_n_clusters_20,0.026075307586087115,2.2060011740610008e-4
cluster_proportion_n_clusters_20,3.7339372976008534e-5,1.3962520029053849e-10
iterations_k_n_clusters_20,0.09247069692773502,0.001281367409570744
wcv_ratio_n_clusters_20,0.05104989018444783,0.0020882051905307675
centroid_distance_n_clusters_50,6.990344565827034e-5,7.720604508709705e-6
cluster_proportion_n_clusters_50,4.93686453273412e-7,3.9258374329165235e-11
iterations_k_n_clusters_50,0.29746220267998713,0.003111295033469519
wcv_ratio_n_clusters_50,0.0029434912507746436,8.187078015076121e-5
centroid_distance_n_clusters_100,0.0023052706152224545,0.014527291731057046
cluster_proportion_n_clusters_100,1.1692366037596713e-6,8.122391648157645e-13
iterations_k_n_clusters_100,0.035472055612777775,0.005849723787313299
wcv_ratio_n_clusters_100,0.11634365913306577,2.0892026241292605e-4
centroid_distance_n_clusters_500,7.695129482765406e-5,8.212142077468343e-11
cluster_proportion_n_clusters_500,0,-8.881784197001252e-16
iterations_k_n_clusters_500,0.5028429400048791,0.08708947470011141
wcv_ratio_n_clusters_500,9.059388886845099e-7,8.068190560095445e-11
centroid_distance_n_points_per_cluster_10,0,-8.881784197001252e-16
cluster_proportion_n_points_per_cluster_10,0,-8.881784197001252e-16
iterations_k_n_points_per_cluster_10,7.32835968822787e-4,3.3854480719974767e-4
wcv_ratio_n_points_per_cluster_10,0.19426267133927788,0.06563561117404948
centroid_distance_n_points_per_cluster_30,0,-8.881784197001252e-16
cluster_proportion_n_points_per_cluster_30,0,-8.881784197001252e-16
iterations_k_n_points_per_cluster_30,0.00202197087560263,0.38657239166101354
wcv_ratio_n_points_per_cluster_30,0.44175195313833593,0.014948859150804905
centroid_distance_n_points_per_cluster_100,9.727774141765622e-13,-8.881784197001252e-16
cluster_proportion_n_points_per_cluster_100,0,-8.881784197001252e-16
iterations_k_n_points_per_cluster_100,0.0903845271182635,0.08024752256452317
wcv_ratio_n_points_per_cluster_100,0.563278843349891,0.1636057888973267
centroid_distance_n_points_per_cluster_1000,0.056125165896979023,2.508634443041391e-4
cluster_proportion_n_points_per_cluster_1000,0,-8.881784197001252e-16
iterations_k_n_points_per_cluster_1000,0.31599341671247416,0.5594273318359007
wcv_ratio_n_points_per_cluster_1000,0.343476735543053,0.5186773662512267
q_pct_threshold_1,1.1963763313360687e-12,2.4014224475621404e-7
k_pct_threshold_1,0,1.0639663006184463e-7
q_pct_threshold_2,3.8347103270552907e-13,9.669042522197913e-8
k_pct_threshold_2,0,2.7375693045783578e-8
q_pct_threshold_3,1.1575185254741882e-12,6.864906587633612e-8
k_pct_threshold_3,0,6.758664738981679e-10
q_pct_threshold_5,3.1223756913334455e-10,6.712900925132104e-7
k_pct_threshold_5,1.3322676295501878e-15,9.999411298977634e-10
q_pct_threshold_10,1.8144386411900193e-5,4.0944497790240675e-5
k_pct_threshold_10,1.6049384043981263e-11,5.058584314765469e-7
peak_value,0,0
MSE,1.346700528870315e-13,2.120525977034049e-14
SSIM,6.627616233600975e-10,4.4457659775787306e-10
NCC,3.35829569042545e-7,0.04675371871770273
PSR,0.011577624728730918,2.3188872391166626e-6
correlation_coefficient,3.35829569042545e-7,0.04675371871770273
jaccard_index_0,0,5.339829884931646e-7
jaccard_index_-1,0,4.530131825219996e-11
jaccard_index_-2,0.004114805096520513,5.077012049009566e-4
