q_file_name,k_file_name,q_number,k_number,mated,q_model,k_model,q_size,k_size,q_foot,k_foot,partial_type,q_points_count,k_points_count,mean,std,0.1,0.25,0.5,0.75,0.9,centroid_distance_n_clusters_10,cluster_proportion_n_clusters_10,iterations_k_n_clusters_10,wcv_ratio_n_clusters_10,centroid_distance_n_clusters_20,cluster_proportion_n_clusters_20,iterations_k_n_clusters_20,wcv_ratio_n_clusters_20,centroid_distance_n_clusters_50,cluster_proportion_n_clusters_50,iterations_k_n_clusters_50,wcv_ratio_n_clusters_50,centroid_distance_n_clusters_100,cluster_proportion_n_clusters_100,iterations_k_n_clusters_100,wcv_ratio_n_clusters_100,centroid_distance_n_clusters_500,cluster_proportion_n_clusters_500,iterations_k_n_clusters_500,wcv_ratio_n_clusters_500,centroid_distance_n_points_per_cluster_10,cluster_proportion_n_points_per_cluster_10,iterations_k_n_points_per_cluster_10,wcv_ratio_n_points_per_cluster_10,centroid_distance_n_points_per_cluster_30,cluster_proportion_n_points_per_cluster_30,iterations_k_n_points_per_cluster_30,wcv_ratio_n_points_per_cluster_30,centroid_distance_n_points_per_cluster_100,cluster_proportion_n_points_per_cluster_100,iterations_k_n_points_per_cluster_100,wcv_ratio_n_points_per_cluster_100,centroid_distance_n_points_per_cluster_1000,cluster_proportion_n_points_per_cluster_1000,iterations_k_n_points_per_cluster_1000,wcv_ratio_n_points_per_cluster_1000,q_pct_threshold_1,k_pct_threshold_1,q_pct_threshold_2,k_pct_threshold_2,q_pct_threshold_3,k_pct_threshold_3,q_pct_threshold_5,k_pct_threshold_5,q_pct_threshold_10,k_pct_threshold_10,peak_value,MSE,SSIM,NCC,PSR,correlation_coefficient,jaccard_index_0,jaccard_index_-1,jaccard_index_-2
001732L_20180124_2_1_1_csafe_jekruse.tiff,001732L_20180124_2_1_2_csafe_jekruse.tiff,1,1,TRUE,Nike/Winflo 4,Nike/Winflo 4,10.5 M,10.5 M,L,L,full,50977,47526,3.148566873126983,4.362798916427268,0.6235839922991699,1.1328126633117943,2.146370837735673,3.66415443884224,5.818210472346531,32.58889076180995,0.00695569552974722,5,0.00864847962737925,23.606273510308277,0.00502048958240186,5,-0.01376467519170186,50.94438042662418,0.00326716551022198,25,-0.01145008380591209,22.958526754971174,0.00215017287807599,13,0.0019736454883244,106.35043257620124,7.8798056726534e-4,15,-0.04769115655492621,885.7441659404627,1.5051566776758e-4,5,-0.49628601909093606,398.1462812980122,3.5409878868503e-4,9,-0.2387743816859989,105.43950966875654,7.9177014112472e-4,15,-0.05245804824910747,50.94438042662422,0.00326716551022198,25,-0.01145008380591209,0.29721246836808757,0.3172368808652106,0.4964003374070659,0.5292050667003324,0.6752653157306236,0.7131254471236796,0.8686662612550758,0.900496570298363,0.9631990897855895,0.9816100660690992,302041124.99999964,890.968354735616,0.8805764240455756,0.0874737110738685,12.483459218155735,0.08747371107389275,0.04740384717629169,0.633177570093458,0.9319526627218936
001351R_20180124_2_1_1_csafe_jekruse.tiff,001351R_20180124_2_2_1_csafe_jekruse.tiff,1,1,TRUE,Nike/Winflo 4,Nike/Winflo 4,10.5 M,10.5 M,R,R,full,50604,46263,4.417046755361803,11.404931200739917,0.599344455719309,1.0907110279209102,2.0201342818657873,3.490844773882043,6.0618792375420725,62.94058268516225,0.01441646651387755,8,0.03169913832115487,37.75332443285752,0.00899383216118774,7,0.0167292990757912,38.90659078769094,0.00507917518109512,8,0.00213894552544615,28.502004574182333,0.00265639477355187,16,0.04991655292295342,439.5695042093823,8.2390784615576e-4,10,0.00545637026433267,883.6418470508792,1.489236109751e-4,5,-0.34346565774640997,520.6401859697271,3.5798283738277e-4,7,-0.13013978588804131,453.6474927518543,8.1642073091406e-4,10,0.00418348394901549,38.90659078769097,0.00507917518109512,8,0.00213894552544603,0.3162200616552051,0.3423254004279878,0.5267567781203067,0.5678836219008712,0.7032448027823888,0.7513563755052634,0.8721444945063631,0.9221408036659966,0.9409730456090428,0.9843935758597584,307178099.9999999,996.2448129683256,0.8679558918635653,0.09010220064831852,11.534070223880208,0.0901022006483222,0.05075960096498663,0.6514583333333334,0.9436201780415432
001732L_20180124_2_1_2_csafe_jekruse.tiff,001732L_20180124_2_2_1_csafe_jekruse.tiff,1,1,TRUE,Nike/Winflo 4,Nike/Winflo 4,10.5 M,10.5 M,L,L,full,47526,40661,7.9147038716787215,19.366558650072587,0.767063161668579,1.4303285366716314,2.7200939315391115,4.584188159991802,9.974938977759816,54.797279014738486,0.00915882366420526,12,0.03580706277289074,38.10251387321733,0.00682380381522498,7,0.02670219607348884,45.6912915729304,0.00437889213748508,16,0.04283037668143385,260.5116027371403,0.00265797323389836,7,0.08455184451305112,536.5810727191572,8.7419238189709e-4,13,0.05656045587258972,929.9256122773702,1.5960014070298e-4,5,-0.08813910324359422,630.1150613309123,3.8199635943399e-4,8,-0.05826031162969965,509.29696079582266,8.8920526858977e-4,13,0.05350280781723372,42.64106094236181,0.00402004299670313,12,0.04385783298405477,0.2230568530909397,0.25660952755711863,0.3961621007448554,0.4544403728388382,0.5725287211210706,0.6511399129386882,0.7941337373227286,0.879270062221785,0.9007701047847494,0.9830058286810456,238316624.9999999,792.625797611059,0.8878475161697676,0.07731820463943609,12.58933341854458,0.07731820463944762,0.03539874994125663,0.5948193156379917,0.9069069069069068
001351R_20180124_2_2_1_csafe_jekruse.tiff,001351R_20180124_2_2_2_csafe_jekruse.tiff,1,1,TRUE,Nike/Winflo 4,Nike/Winflo 4,10.5 M,10.5 M,R,R,full,46263,44615,3.034812740012379,6.070186496009338,0.5692074426161186,1.0045811901754709,1.8106814965829068,3.205635677155456,5.236118498319438,35.70775397124537,0.0124792979838451,6,0.01647005301671346,47.343388191458075,0.00793974571191585,10,0.03078980471751993,24.803227322063425,0.00436424500844217,9,0.02183335570216242,21.771976629960022,0.00255397544728224,9,0.00948405418684632,265.683655946491,8.2910674035737e-4,12,-0.08417736028578356,854.5359942509632,1.650132567536e-4,5,-0.5184536387810184,457.5931477944079,3.8735086022263e-4,10,-0.15549036725955842,261.01442876079324,8.4610498869417e-4,11,-0.07182394946391985,28.584434412511055,0.00460216703462632,12,0.02644861720483306,0.35131746752264226,0.3642721057940155,0.5714069558826708,0.5994396503418133,0.7383005857812939,0.7778773954947887,0.8941486717247044,0.9329597668945422,0.966366210578648,0.9864171242855542,325970324.99999976,803.2853470099219,0.8937564781794871,0.10412570340559377,15.8961892498996,0.1041257034055935,0.05398916737221791,0.6807522374532684,0.9228395061728396
001732L_20180124_2_2_1_csafe_jekruse.tiff,001732L_20180124_2_2_2_csafe_jekruse.tiff,1,1,TRUE,Nike/Winflo 4,Nike/Winflo 4,10.5 M,10.5 M,L,L,full,40661,37117,4.6440358414295755,10.958413640786024,0.6213966196567094,1.1659036887018814,2.1942794171627877,3.853140038199146,7.272877575981536,72.95553452720203,0.01657830075760558,18,0.05924857008471785,89.53609059975062,0.00878463258553553,14,0.08077993351250429,216.80494538173335,0.00468699904866738,11,0.03461033869419606,206.99200382810832,0.00301471043404805,13,0.0336344805928846,355.3619566983342,9.1533674494691e-4,12,-0.02389323530139099,854.7990876033427,1.8728847774577e-4,6,-0.40577992580736666,511.1824047955799,4.5260850345849e-4,10,-0.08791581448054867,302.1469874238542,0.00103208083685958,14,-0.0081560309837254,49.671672446539546,0.00571531277051018,13,0.05281625085458334,0.2898600624677209,0.31511167389605843,0.49061754506775535,0.5291645337715871,0.6655517572120705,0.7156558989142442,0.8353705024470623,0.8991297788075545,0.9293918004967904,0.9801708112185792,231749100,760.9151390437667,0.894743204010894,0.08587906819131086,14.260408343456156,0.08587906819130768,0.04803363972074719,0.6223339053689629,0.9082278481012658
001351R_20180124_2_2_2_csafe_jekruse.tiff,001351R_20180124_2_1_2_csafe_jekruse.tiff,1,1,TRUE,Nike/Winflo 4,Nike/Winflo 4,10.5 M,10.5 M,R,R,full,44615,49317,2.380094533976708,4.722365029913822,0.5545816821001635,0.9703031155707478,1.7266368908829728,2.8998424784142296,4.433897258465909,92.3631483914877,0.01146447235017333,14,-0.09559482583961332,49.48728034983259,0.00823095774204988,6,-0.10282209245054363,45.85083681743276,0.00495603812535094,16,-0.09537441642590688,33.6622861018821,0.00298318673602513,25,-0.15499317474450305,87.57116287468233,9.5360648884547e-4,12,-0.45221373554333105,803.5562899520748,1.7848857642561e-4,5,-1.9774254820336352,255.22293097097577,4.4098180944814e-4,16,-0.8500698141107539,23.632152174606237,0.00103499529589252,12,-0.42948781418950566,52.05545631391074,0.00500529875485266,13,-0.09077982048906524,0.3672979939482237,0.3314678508425087,0.6010758713437184,0.5396516414218221,0.7788187829205424,0.6991909483545228,0.92749075423064,0.84995032139019,0.9866860921214838,0.9235152178761888,329936850,858.2274003289288,0.8855906327124088,0.10153535821988842,14.639263784064704,0.10153535821989863,0.0524015999462203,0.6324237560192616,0.9209726443768996
002898R_20180124_2_2_2_csafe_boekhoff.tiff,002898R_20180124_2_1_1_csafe_boekhoff.tiff,2,2,TRUE,Adidas/Seeley,Adidas/Seeley,7 W,7 W,R,R,full,63896,73144,3.182572417335511,6.160691477647612,0.6104227514799053,1.0284544063286365,1.8567303934705628,3.223359874746492,5.084629003792028,47.14438248633358,0.01653804673763817,9,-0.04862156682335709,53.14075829641693,0.00827427234167512,11,-0.084762382017243,87.6640436323533,0.00523323419900974,61,-0.04329702841588961,47.75528095782267,0.00230891792662342,19,-0.08101735525937909,200.67899530761116,7.1984303953783e-4,23,-0.22696674574895956,583.64661129387855,1.2379703387976e-4,7,-2.219579280222945,278.54970152532775,2.8355201486358e-4,13,-0.6478672621110263,210.3991288341697,6.2464556960368e-4,16,-0.24154931251837397,62.27384888199483,0.00388117447565227,37,-0.0699934499877816,0.3299111055465131,0.28971617630974517,0.5538061850507074,0.4930411243574319,0.7290910229122324,0.6550639833752597,0.9005884562413923,0.8251667942688395,0.9621729059722048,0.9159602974953516,461417399.99999976,1247.7314038162358,0.8202721295832062,0.09412753812959704,9.720553086740193,0.09412753812960804,0.04274018048728523,0.6369951644759245,0.9350180505415162
002898R_20180124_2_1_1_csafe_boekhoff.tiff,002898R_20180124_2_2_1_csafe_boekhoff.tiff,2,2,TRUE,Adidas/Seeley,Adidas/Seeley,7 W,7 W,R,R,full,73144,65090,3.765807106077735,6.86193358619543,0.6141469757843487,1.0561772535345322,1.9696528975520533,3.623023902698708,6.992412344623209,35.888477589974364,0.00887859029181359,4,0.03926561246822052,44.630978735566785,0.00615763372019302,8,0.00649832055028756,46.365993659997926,0.0032262043401008,19,0.04157566155032655,48.97447854076229,0.0020838613914026,24,0.03111535898416807,171.64942542587505,7.2588309000015e-4,21,0.03327006715822756,744.9607872112979,1.0076463612272e-4,5,-0.2727866511733891,520.3796147523283,2.5416938298559e-4,10,-0.11017858169096696,257.2263221017416,5.6854768833758e-4,15,7.4017456250063e-4,51.45866182663831,0.00256844648798504,19,0.02680019178172363,0.3178524554303839,0.35423260101398063,0.5264273214481023,0.5819480719004455,0.6885458820955923,0.7583499769549854,0.8480668270808268,0.91224458442157,0.9305069452039813,0.9630511599324012,482680574.9999997,1318.7210682960792,0.8124005603589687,0.09734537122965332,9.486080880918593,0.09734537122966538,0.04856975976818806,0.6443537414965986,0.9042553191489362
002898R_20180124_2_2_1_csafe_boekhoff.tiff,002898R_20180124_2_1_2_csafe_boekhoff.tiff,2,2,TRUE,Adidas/Seeley,Adidas/Seeley,7 W,7 W,R,R,full,65090,76616,2.536341428592933,4.272007028320686,0.5542714722853338,0.9692778281461134,1.7454061660218971,3.0481610243452737,4.693651044535961,36.34795509141435,0.00722887525159006,5,-0.12104836150179762,55.26049460572975,0.00523102550971846,10,-0.0646722581691821,70.6439440439015,0.00348510027955,31,-0.04732748881676114,40.77430202912896,0.00193225177454198,23,-0.12923979611711392,66.88614846230782,6.5872943651768e-4,23,-0.2421230349104566,561.5623402873495,1.1993515320857e-4,8,-2.2710241596700675,208.10488903111371,2.7926568992049e-4,12,-0.7099356770744065,132.95952796936433,5.7285030910644e-4,18,-0.251616078584563,50.434191848297125,0.00252380651845109,29,-0.09052507023906572,0.36070056844369336,0.307703351780307,0.5846981103088031,0.5051555810796701,0.757243816254417,0.6632948731335492,0.9212628667998156,0.8284039887229822,0.9818712551851284,0.9177847969092616,451403549.99999976,1573.7571475884104,0.7743138910788074,0.08609336983113235,7.35227643747743,0.08609336983113404,0.05044035228182546,0.6353197386656108,0.9326241134751772
002054L_20180124_2_1_1_csafe_boekhoff.tiff,002054L_20180124_2_2_1_csafe_boekhoff.tiff,2,2,TRUE,Adidas/Seeley,Adidas/Seeley,7 W,7 W,L,L,full,81347,68892,5.013314192634566,12.411184882826078,0.5951265973103287,1.0053641909778053,1.8127201994570217,3.3283903435609563,8.715273822611008,135.5531556190954,0.02243250900739033,14,0.16792327465392565,94.1363055378504,0.00902156705304858,22,0.1270314699846612,71.82118623133726,0.00456100853348296,22,0.09875128717127464,100.2726996805634,0.0027902159463032,20,0.06739621505417787,273.69469997804015,8.0392117394629e-4,18,0.05797076722289867,748.1908909874257,9.045095856131994e-5,6,-0.0047556296239273,486.1682649564679,2.3636750690627e-4,9,-0.01830903544266907,344.6419358896651,5.6500029926102e-4,18,0.0520274972866123,44.176162347168386,0.00332164245041325,23,0.06880288791283432,0.3426063653238595,0.40097543981884687,0.5655402166029478,0.6485368402717296,0.7219565564802636,0.8194710561458515,0.8519183251994542,0.952737618301109,0.9082449260575068,0.9926551704116588,546665175.0000002,1442.4781183256405,0.7997825892233857,0.10111806235700892,9.022752650590917,0.10111806235701122,0.05353248483573507,0.6841726147600026,0.889273356401384
