q,k,mated
001732L_20180418_2_2_2_csafe_jekruse.tiff,001732L_20180418_2_2_1_csafe_jekruse.tiff,TRUE
001351R_20171031_2_1_2_csafe_bpbryson.tiff,001351R_20171031_2_1_1_csafe_bpbryson.tiff,TRUE
001732L_20180418_2_1_1_csafe_jekruse.tiff,001732L_20180418_2_1_2_csafe_jekruse.tiff,TRUE
001732L_20180124_2_1_1_csafe_jekruse.tiff,001732L_20180124_2_1_2_csafe_jekruse.tiff,TRUE
001351R_20180228_2_1_2_csafe_jekruse.tiff,001351R_20180228_2_1_1_csafe_jekruse.tiff,TRUE
001732L_20180228_2_1_1_csafe_jekruse.tiff,001732L_20180228_2_1_2_csafe_jekruse.tiff,TRUE
001732L_20171031_2_2_2_csafe_bpbryson.tiff,001732L_20171031_2_2_1_csafe_bpbryson.tiff,TRUE
001351R_20180124_2_1_1_csafe_jekruse.tiff,001351R_20180124_2_1_2_csafe_jekruse.tiff,TRUE
001732L_20180228_2_2_1_csafe_jekruse.tiff,001732L_20180228_2_2_2_csafe_jekruse.tiff,TRUE
001732L_20171031_2_1_1_csafe_bpbryson.tiff,001732L_20171031_2_1_2_csafe_bpbryson.tiff,TRUE
001351R_20171031_2_2_1_csafe_bpbryson.tiff,001351R_20171031_2_2_2_csafe_bpbryson.tiff,TRUE
001351R_20180418_2_1_1_csafe_jekruse.tiff,001351R_20180418_2_1_2_csafe_jekruse.tiff,TRUE
001351R_20180124_2_2_1_csafe_jekruse.tiff,001351R_20180124_2_2_2_csafe_jekruse.tiff,TRUE
001732L_20180124_2_2_1_csafe_jekruse.tiff,001732L_20180124_2_2_2_csafe_jekruse.tiff,TRUE
001351R_20180418_2_2_1_csafe_jekruse.tiff,001351R_20180418_2_2_2_csafe_jekruse.tiff,TRUE
001351R_20180228_2_2_1_csafe_jekruse.tiff,001351R_20180228_2_2_2_csafe_jekruse.tiff,TRUE
002054L_20180411_2_2_2_csafe_tpashek.tiff,002054L_20180411_2_2_1_csafe_tpashek.tiff,TRUE
002898R_20180124_2_2_2_csafe_boekhoff.tiff,002898R_20180124_2_2_1_csafe_boekhoff.tiff,TRUE
002898R_20180228_2_1_2_csafe_hanrahan.tiff,002898R_20180228_2_1_1_csafe_hanrahan.tiff,TRUE
002054L_20180228_2_2_1_csafe_hanrahan.tiff,002054L_20180228_2_2_2_csafe_hanrahan.tiff,TRUE
002898R_20180124_2_1_1_csafe_boekhoff.tiff,002898R_20180124_2_1_2_csafe_boekhoff.tiff,TRUE
002054L_20171027_2_1_2_csafe_tpashek.tiff,002054L_20171027_2_1_1_csafe_tpashek.tiff,TRUE
002898R_20171027_2_2_1_csafe_tpashek.tiff,002898R_20171027_2_2_2_csafe_tpashek.tiff,TRUE
002898R_20180411_2_1_2_csafe_tpashek.tiff,002898R_20180411_2_1_1_csafe_tpashek.tiff,TRUE
