q,k,mated
130829R_20180221_2_1_2_csafe_hanrahan.tiff,157104R_20180221_2_1_2_csafe_hanrahan.tiff,True
101928L_20180214_2_1_2_csafe_hanrahan.tiff,127413L_20180221_2_1_2_csafe_hanrahan.tiff,True
003859R_20180124_2_1_1_csafe_boekhoff.tiff,092115R_20180214_2_1_2_csafe_tpashek.tiff,True
023519L_20180124_2_1_1_csafe_boekhoff.tiff,053470L_20180124_2_1_1_csafe_hanrahan.tiff,True
048462L_20180124_2_1_2_csafe_jekruse.tiff,063912L_20180214_2_1_1_csafe_jekruse.tiff,True
046013L_20180131_2_1_2_csafe_tpashek.tiff,004888L_20180124_2_2_1_csafe_boekhoff.tiff,True
002898R_20180124_2_2_1_csafe_boekhoff.tiff,086927R_20180221_2_1_1_csafe_hanrahan.tiff,True
156625R_20180221_2_1_2_csafe_dtmartin.tiff,027853R_20180124_2_2_1_csafe_jekruse.tiff,True
152759L_20180221_2_2_1_csafe_dtmartin.tiff,043758L_20180214_2_2_2_csafe_jekruse.tiff,True
041725L_20180131_2_2_1_csafe_tpashek.tiff,097136L_20180214_2_1_2_csafe_hanrahan.tiff,True
038661R_20180131_2_2_1_csafe_jekruse.tiff,024000R_20180124_2_2_2_csafe_jekruse.tiff,True
151222R_20180226_2_1_2_csafe_bpbryson.tiff,153585R_20180226_2_1_2_csafe_bpbryson.tiff,True
129401L_20180221_2_2_2_csafe_tpashek.tiff,054359L_20180131_2_2_1_csafe_tpashek.tiff,True
037549L_20180131_2_2_2_csafe_jekruse.tiff,038400L_20180131_2_1_1_csafe_jekruse.tiff,True
065344R_20180207_2_2_1_csafe_boekhoff.tiff,090449R_20180207_2_1_2_csafe_boekhoff.tiff,True
003859R_20180124_2_2_2_csafe_boekhoff.tiff,084563R_20180221_2_2_2_csafe_hanrahan.tiff,True
077082L_20180207_2_1_2_csafe_jekruse.tiff,079218L_20180207_2_1_1_csafe_jekruse.tiff,True
092115R_20180214_2_2_1_csafe_tpashek.tiff,084563R_20180221_2_2_2_csafe_hanrahan.tiff,True
072582L_20180207_2_1_2_csafe_boekhoff.tiff,127413L_20180221_2_1_1_csafe_hanrahan.tiff,True
034419R_20180131_2_1_2_csafe_jekruse.tiff,016098R_20180124_2_2_1_csafe_jekruse.tiff,True
137513L_20180221_2_2_1_csafe_dtmartin.tiff,012550L_20180124_2_2_2_csafe_jekruse.tiff,True
079309R_20180207_2_2_1_csafe_jekruse.tiff,044022R_20180131_2_2_2_csafe_jekruse.tiff,True
069055L_20180207_2_2_1_csafe_boekhoff.tiff,045684L_20180131_2_1_1_csafe_tpashek.tiff,True
063620R_20180214_2_1_1_csafe_jekruse.tiff,144088R_20180221_2_1_1_csafe_dtmartin.tiff,True
107599L_20180214_2_2_1_csafe_tpashek.tiff,119777L_20180214_2_2_1_csafe_hanrahan.tiff,True
086927R_20180221_2_2_1_csafe_hanrahan.tiff,101662R_20180214_2_1_1_csafe_hanrahan.tiff,True
041672R_20180131_2_1_1_csafe_tpashek.tiff,083929R_20180207_2_2_2_csafe_boekhoff.tiff,True
023519L_20180124_2_2_2_csafe_boekhoff.tiff,091734L_20180214_2_1_2_csafe_boekhoff.tiff,True
126848R_20180221_2_2_1_csafe_hanrahan.tiff,119819R_20180214_2_1_1_csafe_hanrahan.tiff,True
036893R_20180131_2_1_1_csafe_hanrahan.tiff,087785R_20180207_2_1_2_csafe_boekhoff.tiff,True
082497L_20180207_2_1_2_csafe_boekhoff.tiff,095301L_20180214_2_1_1_csafe_hanrahan.tiff,True
097195R_20180214_2_2_1_csafe_hanrahan.tiff,023244R_20180124_2_1_2_csafe_boekhoff.tiff,True
067241L_20180207_2_2_2_csafe_boekhoff.tiff,014450L_20180124_2_2_1_csafe_boekhoff.tiff,True
152759L_20180221_2_1_1_csafe_dtmartin.tiff,032520L_20180131_2_2_1_csafe_martin.tiff,True
133101R_20180221_2_2_1_csafe_tpashek.tiff,061023R_20180207_2_2_1_csafe_boekhoff.tiff,True
097136L_20180214_2_1_1_csafe_hanrahan.tiff,040639L_20180131_2_2_2_csafe_hanrahan.tiff,True
102420R_20180214_2_1_1_csafe_jekruse.tiff,135791R_20180221_2_1_1_csafe_dtmartin.tiff,True
108416L_20180214_2_2_2_csafe_tpashek.tiff,020544L_20180124_2_1_1_csafe_tpashek.tiff,True
119819R_20180214_2_1_1_csafe_hanrahan.tiff,065344R_20180207_2_2_1_csafe_boekhoff.tiff,True
160138R_20180221_2_2_2_csafe_dtmartin.tiff,077778R_20180207_2_2_1_csafe_jekruse.tiff,True
126848R_20180221_2_1_1_csafe_hanrahan.tiff,021667R_20180124_2_2_2_csafe_tpashek.tiff,True
043758L_20180214_2_1_1_csafe_jekruse.tiff,125567L_20180221_2_2_2_csafe_dtmartin.tiff,True
088597R_20180207_2_1_2_csafe_boekhoff.tiff,081247R_20180131_2_2_2_csafe_hanrahan.tiff,True
013609R_20180124_2_2_1_csafe_tpashek.tiff,107614R_20180214_2_1_2_csafe_tpashek.tiff,True
072299R_20180207_2_1_1_csafe_boekhoff.tiff,003859R_20180124_2_2_2_csafe_boekhoff.tiff,True
157104R_20180221_2_2_2_csafe_hanrahan.tiff,033561R_20180131_2_2_2_csafe_hanrahan.tiff,True
018980L_20180124_2_1_1_csafe_bryson.tiff,153514L_20180226_2_2_1_csafe_bpbryson.tiff,True
102154L_20180214_2_2_1_csafe_jekruse.tiff,104158L_20180214_2_1_1_csafe_jekruse.tiff,True
068320L_20180207_2_2_1_csafe_boekhoff.tiff,121753L_20180221_2_2_2_csafe_hanrahan.tiff,True
081815L_20180131_2_2_2_csafe_hanrahan.tiff,019546L_20180124_2_1_1_csafe_tpashek.tiff,True
034419R_20180131_2_2_2_csafe_jekruse.tiff,150768R_20180221_2_2_1_csafe_dtmartin.tiff,True
105050R_20180214_2_1_1_csafe_jekruse.tiff,104052R_20180214_2_1_1_csafe_jekruse.tiff,True
076650R_20180226_2_1_2_csafe_bpbryson.tiff,038661R_20180131_2_1_2_csafe_jekruse.tiff,True
