q,k,mated
001351R_20180228_2_2_2_csafe_jekruse.tiff,135791R_20180509_2_2_2_jekruse.tiff,FALSE
076275L_20180226_2_2_2_csafe_bpbryson.tiff,038400L_20180131_2_1_2_csafe_jekruse.tiff,FALSE
015651L_20180305_2_2_2_csafe_bpbryson.tiff,102154L_20180509_2_2_2_jekruse.tiff,FALSE
052203L_20180418_2_1_1_csafe_hanrahan.tiff,146976L_20180502_2_1_1_jekruse.tiff,FALSE
137736R_20180113_2_2_1_Silerio-Kruse.tiff,125855R_20180113_2_1_2_Silerio-Kruse.tiff,FALSE
072299R_20180111_2_2_1_csafe_hanrahan.tiff,025004R_20171030_2_1_2_csafe_tpashek.tiff,FALSE
028882L_20180228_2_1_2_csafe_boekhoff.tiff,021345L_20180228_2_1_1_csafe_boekhoff.tiff,FALSE
135791R_20180409_2_2_2_csafe_bpbryson.tiff,080478R_20180425_2_2_1_csafe_jekruse.tiff,FALSE
091734L_20180214_2_1_2_csafe_boekhoff.tiff,146976L_20180221_2_2_2_csafe_hanrahan.tiff,FALSE
066782L_20180214_2_1_1_csafe_hanrahan.tiff,033281L_20180509_2_1_2_tiltonm.tiff,FALSE
068320L_20180207_2_2_1_csafe_boekhoff.tiff,120600L_20180328_2_1_1_csafe_boekhoff.tiff,FALSE
080478R_20180321_2_2_2_csafe_jekruse.tiff,063620R_20180425_2_2_2_csafe_jekruse.tiff,FALSE
100845L_20180214_2_2_1_csafe_hanrahan.tiff,036285L_20180131_2_2_1_csafe_hanrahan.tiff,FALSE
080478R_20180425_2_2_2_csafe_jekruse.tiff,105050R_20180402_2_1_2_csafe_bpbryson.tiff,FALSE
051403L_20180319_2_2_1_csafe_bpbryson.tiff,037549L_20180319_2_1_1_csafe_bpbryson.tiff,FALSE
046013L_20180307_2_2_1_csafe_boekhoff.tiff,119777L_20180111_2_1_1_csafe_boekhoff.tiff,FALSE
026920L_20180411_2_2_2_csafe_jekruse.tiff,103485L_20180113_2_1_1_Silerio-Kruse.tiff,FALSE
003271L_20171027_2_1_1_csafe_tpashek.tiff,127413L_20180404_2_2_2_csafe_tpashek.tiff,FALSE
045804R_20180307_2_2_2_csafe_boekhoff.tiff,131648R_20180502_2_1_2_jekruse.tiff,FALSE
052203L_20171113_2_1_2_csafe_bpbryson.tiff,075718L_20180111_2_1_2_csafe_hanrahan.tiff,FALSE
101928L_20180111_2_1_2_csafe_boekhoff.tiff,003271L_20180411_2_2_1_csafe_tpashek.tiff,FALSE
063912L_20180425_2_1_1_csafe_jekruse.tiff,015651L_20180305_2_2_2_csafe_bpbryson.tiff,FALSE
105557L_20180113_2_2_2_Silerio-Kruse.tiff,112374L_20180214_2_1_2_csafe_jekruse.tiff,FALSE
001732L_20180418_2_1_1_csafe_jekruse.tiff,105557L_20180402_2_1_1_csafe_bpbryson.tiff,FALSE
047555L_20180131_2_1_2_csafe_hanrahan.tiff,131974L_20180221_2_2_2_csafe_tpashek.tiff,FALSE
052702R_20171113_2_1_1_csafe_bpbryson.tiff,083929R_20180425_2_1_1_tiltonm.tiff,FALSE
