q_file_name,k_file_name,q_number,k_number,mated,q_model,k_model,q_size,k_size,q_foot,k_foot,partial_type,q_points_count,k_points_count,mean,std,0.1,0.25,0.5,0.75,0.9,kurtosis,centroid_distance_n_clusters_10,cluster_proprtion_n_clusters_10,iterations_k_n_clusters_10,wcv_ratio_n_clusters_10,centroid_distance_n_clusters_20,cluster_proprtion_n_clusters_20,iterations_k_n_clusters_20,wcv_ratio_n_clusters_20,centroid_distance_n_clusters_50,cluster_proprtion_n_clusters_50,iterations_k_n_clusters_50,wcv_ratio_n_clusters_50,centroid_distance_n_clusters_70,cluster_proprtion_n_clusters_70,iterations_k_n_clusters_70,wcv_ratio_n_clusters_70,centroid_distance_n_clusters_100,cluster_proprtion_n_clusters_100,iterations_k_n_clusters_100,wcv_ratio_n_clusters_100,q_pct_threshold_1,k_pct_threshold_1,q_pct_threshold_2,k_pct_threshold_2,q_pct_threshold_3,k_pct_threshold_3,q_pct_threshold_5,k_pct_threshold_5,q_pct_threshold_10,k_pct_threshold_10
047555L_20180131_2_1_1_csafe_hanrahan.tiff,053470L_20180124_2_2_2_csafe_hanrahan.tiff,47,53,False,Nike/Winflo 4,Nike/Winflo 4,8 W,8 W,L,L,full,46413,36865,16.20745273663141,30.05579730122739,1.048856554825176,2.234249405769298,4.939905152469984,12.36137158291462,49.7920870583988,9.829986778888093,67.38864314346856,0.01410429234192788,8,0.06848458406079187,87.14839275988703,0.0091368146497858,12,0.10048455748856015,71.90652672804511,0.005959706912585024,23,0.08853603912599631,211.90350458661908,0.006159483880839906,16,0.03505746154350445,218.6876572425327,0.005270400888807301,11,0.1470675716122359,0.13608256307500055,0.17119218771192188,0.2384030336328184,0.3021836430218364,0.34936332493051514,0.4368371083683711,0.5160407644409971,0.647985894479859,0.7066123715338375,0.8864234368642344
146360R_20180221_2_2_2_csafe_hanrahan.tiff,091173R_20180214_2_2_1_csafe_boekhoff.tiff,146,91,False,Nike/Winflo 4,Nike/Winflo 4,8 W,8 W,R,R,full,44329,47896,4.238965988337082,6.542099056852274,0.7495000929815183,1.3919394018499056,2.736896267961393,4.9957550694168695,8.576176400684231,83.83915539512482,49.15868945985006,0.010777094392821686,6,-0.0021814541502707,98.78363554441574,0.009762851043803039,14,0.008379693069289094,50.20853545147682,0.0048542841261209856,23,-0.030790328726572273,41.9193703504103,0.0034489900354151195,16,-0.05220820271983699,37.16851745028227,0.002739484395236431,14,-0.07013381637852817,0.22948859662974577,0.21045598797394355,0.39919691398407364,0.3666485719057959,0.5590696835028988,0.5166193419074662,0.7609014414942814,0.7086186737932186,0.9317828058381646,0.8829338566894939
148763L_20180221_2_1_2_csafe_tpashek.tiff,108416L_20180214_2_1_2_csafe_tpashek.tiff,148,108,False,Nike/Winflo 4,Nike/Winflo 4,8 W,8 W,L,L,full,44765,49007,3.951062609436059,5.134744388538094,0.8204945724230954,1.4433039883810919,2.9154285680483287,5.187895161402451,8.434417851368336,1306.956861525626,24.67061625175418,0.011970995543645618,5,0.0008918833175634134,24.22469756577,0.006968992214347864,6,-0.018099659865522567,28.35881369753558,0.0037573229139658466,13,-0.025311591379647544,28.78326853890003,0.002753026343058855,15,-0.04286839993224285,19.389176382453645,0.002240602332489949,11,-0.0731638385178963,0.22032838154808443,0.20664394882363743,0.37969395733273764,0.3681718938110882,0.5308835027365129,0.5191095149672496,0.748575896347593,0.7347113677637889,0.9346140958337987,0.9154406513355235
127413L_20180221_2_2_1_csafe_hanrahan.tiff,002054L_20180124_2_2_2_csafe_boekhoff.tiff,127,2,False,Adidas/Seeley,Adidas/Seeley,7 W,7 W,L,L,full,69080,68652,10.129887345581647,16.127037046365515,0.9745835171206444,2.064532366357293,4.361264935300957,9.11141302850651,27.62711326514116,11.310043382134848,115.33934913571932,0.014996377788583756,15,0.08390141481581082,113.86255727860367,0.011178750798482526,14,0.097785061965824,86.3311072390937,0.006188895768109728,29,0.08584963314553828,78.1883436962553,0.00405612127299197,27,0.030215971563154302,101.43761415238278,0.003393942315012065,30,0.036367263947493116,0.1436016213086277,0.14596807085008448,0.25545744064852344,0.2600652566567616,0.3776635784597568,0.38230495834061645,0.561696583671106,0.5703257006350871,0.7734076433121019,0.8008506671327856
067149R_20180207_2_1_2_csafe_boekhoff.tiff,140459R_20180221_2_1_2_csafe_hanrahan.tiff,67,140,False,Nike/Winflo 4,Nike/Winflo 4,8.5 W,8.5 W,R,R,full,48588,52652,4.837808182889543,5.518002069058144,0.8356660304053246,1.6215549663774695,3.128409857265456,5.730437173614839,11.406193907060747,46.42229821609071,65.40533005411827,0.013466553586551511,13,0.024162767720897132,27.13635764824465,0.008121717075651458,8,-0.03051834888724802,41.607337990038104,0.005101735232955609,13,0.013377444330257672,29.187838041994517,0.0037664744832823557,7,-0.011386225438238159,23.545606866995755,0.0030974770692735708,9,-0.053251515565312955,0.1945953733432123,0.17592873964901617,0.3433769655058862,0.308079465167515,0.5025109080431382,0.4491947124515688,0.71503251831728,0.6568791308972118,0.8813287231415164,0.892482716705918
076650R_20180226_2_2_2_csafe_bpbryson.tiff,137736R_20180221_2_2_1_csafe_dtmartin.tiff,76,137,False,Nike/Winflo 4,Nike/Winflo 4,10 M,10 M,R,R,full,44488,43707,10.828221501870715,20.58332173609718,0.95262974732292,2.071905057115556,4.582534672665753,10.94418463626194,22.75235222505994,28.38211824392189,93.48417466875514,0.022169382517787755,15,0.11625667706453126,69.16784758834805,0.012862034773190246,11,0.07837520436980396,61.670203341746614,0.006854052137762686,20,0.012805684302687137,154.34291745777463,0.005462065157744467,13,-0.04915544141756172,215.9244858270156,0.004123160470403292,16,-0.06808323224802106,0.15294011868368998,0.15773217104811585,0.2596655277827729,0.2727023131306198,0.3704819277108434,0.39563456654540463,0.5400107894263622,0.5705035806621365,0.7305790325481029,0.731210103644725
023519L_20180124_2_2_2_csafe_boekhoff.tiff,108416L_20180214_2_1_2_csafe_tpashek.tiff,23,108,False,Nike/Winflo 4,Nike/Winflo 4,8 W,8 W,L,L,full,42460,49007,4.068813825335989,4.793339177790655,0.7601697302887727,1.4521738254840597,2.833980015845598,5.09175282725217,8.653493635012419,217.7160392681679,49.25494155267211,0.012512252314323515,6,-0.12641684423395796,57.13481615468903,0.00916506300020117,10,-0.1113177887044581,45.278321181989135,0.0043905676525572675,10,-0.03977860284816784,40.21991402260177,0.0032878039044275578,12,-0.10362144464052432,33.74499176538985,0.0029461638809096464,16,-0.1315697781403692,0.22192651907677816,0.19203379109106863,0.38429109750353274,0.3303405635929561,0.545572303344324,0.46836166261962575,0.7553697597739049,0.6654151447752362,0.9247056052755535,0.8639582100516253
014450L_20180124_2_2_1_csafe_boekhoff.tiff,093150L_20180214_2_1_2_csafe_tpashek.tiff,14,93,False,Nike/Winflo 4,Nike/Winflo 4,8.5 W,8.5 W,L,L,full,39301,50036,4.8639062616494915,8.465397040679456,0.7941602177166064,1.5281881139132,3.0108030907940964,5.585590531513601,9.252430337307006,129.44627568669858,173.4100669538779,0.02792990272746129,27,-0.2645240235401673,150.94937866106318,0.01958730584791978,25,-0.26813544779495363,97.02054843390087,0.009299106302126577,19,-0.3297189127609563,70.9870154635345,0.007393835244801436,16,-0.396047551029414,160.83157784367444,0.005717620959653034,11,-0.5677396770839123,0.20564362229968702,0.16168358781677192,0.36352764560698203,0.28429530737868736,0.5176967507188113,0.40838596210728273,0.7226533675987888,0.5817411463746103,0.9177120175059159,0.7563554240946518
134336R_20180221_2_1_2_csafe_hanrahan.tiff,053900R_20180124_2_2_1_csafe_hanrahan.tiff,134,53,False,Nike/Winflo 4,Nike/Winflo 4,8 W,8 W,R,R,full,54047,43426,12.135998053440291,18.92979100396527,0.951261555813396,2.0441210792874793,4.698316841543035,13.086224734536831,31.73758352855824,8.98761292261137,60.59834017629,0.02244958632755502,7,0.05676153017890228,90.60580283124396,0.01143995478392388,21,0.07687745115153163,288.83189105307514,0.007163553974267015,12,0.03179326836640361,245.91867735813304,0.005683431879715503,15,0.07724684547321334,274.10533431578165,0.003780612854067041,11,0.10209906579764119,0.1535145336466409,0.19260350941832083,0.26349288582159974,0.32869709390687607,0.3747849094306807,0.4616358863353751,0.5286879937831888,0.6440381338368719,0.6942290968971451,0.8212361258232396
104052R_20180214_2_2_2_csafe_jekruse.tiff,048395R_20180124_2_2_1_csafe_jekruse.tiff,104,48,False,Nike/Winflo 4,Nike/Winflo 4,10.5 M,10.5 M,R,R,full,45311,46469,6.369448910668287,11.828079455256695,0.8194656826901145,1.633531536993196,3.3321390329658653,6.189450665088518,11.45553943565728,33.22182686413911,121.78783386853267,0.017695501436955457,25,0.030372948883958542,104.14562112097957,0.007715043558352555,32,0.009851398571231814,61.59708655279498,0.004500507960721896,18,0.041491351723367625,51.59967962173423,0.003857766708153493,16,0.03975236706365962,281.2572204163851,0.003144821546928468,11,0.019430918544472976,0.19262430756328486,0.18956723837396974,0.3339586413895081,0.3346532096666595,0.4750943479508287,0.4766403408724096,0.6830129549116108,0.6801738793604338,0.8823685197854826,0.8835998192343283
