File Name,Scan Method,Image Number,Replicate Number,Visit Number,Shoe Number,Shoe Make/Model,Shoe Size,Worker Names,Shoe Color,Foot
138432R_20180509_2_2_2_jekruse.tiff,2D Scanner,2,2,3,138,Adidas/Seeley,10.5 M,jekruse,Black,R
100845L_20180502_2_1_2_tiltonm.tiff,2D Scanner,1,2,3,100,Adidas/Seeley,7.5 W,tiltonm,Grey,L
134336R_20180502_2_1_2_jekruse.tiff,2D Scanner,1,2,3,134,Nike/Winflo 4,8 W,jekruse,Black/white-racer pink,R
040639L_20171106_2_1_1_csafe_tpashek.tiff,2D Scanner,1,1,0,40,Nike/Winflo 4,8 W,csafe_tpashek,Black/white-dark grey,L
156625R_20180221_2_2_2_csafe_dtmartin.tiff,2D Scanner,2,2,1,156,Adidas/Seeley,10 M,csafe_dtmartin,Black,R
032520L_20180319_2_1_1_csafe_bpbryson.tiff,2D Scanner,1,1,2,32,Nike/Winflo 4,10 M,csafe_bpbryson,Binary Blue/white-black,L
130829R_20180111_2_1_2_csafe_boekhoff.tiff,2D Scanner,1,2,0,130,Nike/Winflo 4,8.5 W,csafe_boekhoff,Black/white-dark grey,R
127413L_20180221_2_1_1_csafe_hanrahan.tiff,2D Scanner,1,1,1,127,Adidas/Seeley,7 W,csafe_hanrahan,Black,L
119777L_20180328_2_2_2_csafe_boekhoff.tiff,2D Scanner,2,2,2,119,Nike/Winflo 4,8.5 W,csafe_boekhoff,Black/white-dark grey,L
014318R_20171030_2_1_1_csafe_tpashek.tiff,2D Scanner,1,1,0,14,Nike/Winflo 4,8.5 W,csafe_tpashek,Glacier-grey/black-anthracite,R
046560R_20180307_2_1_1_csafe_boekhoff.tiff,2D Scanner,1,1,2,46,Nike/Winflo 4,8.5 W,csafe_boekhoff,Glacier-grey/black-anthracite,R
043442R_20180214_2_1_1_csafe_jekruse.tiff,2D Scanner,1,1,1,43,Nike/Winflo 4,10 M,csafe_jekruse,Black/white-dark grey,R
026973R_20180305_2_1_1_csafe_bpbryson.tiff,2D Scanner,1,1,2,26,Nike/Winflo 4,10.5 M,csafe_bpbryson,Black/white-dark grey,R
155006R_20180409_2_2_2_csafe_bpbryson.tiff,2D Scanner,2,2,2,155,Adidas/Seeley,10 M,csafe_bpbryson,Black,R
036893R_20171106_2_2_2_csafe_tpashek.tiff,2D Scanner,2,2,0,36,Adidas/Seeley,7.5 W,csafe_tpashek,Grey,R
053470L_20171113_2_1_1_csafe_bpbryson.tiff,2D Scanner,1,1,0,53,Nike/Winflo 4,8 W,csafe_bpbryson,Black/white-racer pink,L
048395R_20180319_2_1_1_csafe_bpbryson.tiff,2D Scanner,1,1,2,48,Nike/Winflo 4,10.5 M,csafe_bpbryson,Athracite/dark grey-black,R
125855R_20180409_2_1_1_csafe_bpbryson.tiff,2D Scanner,1,1,2,125,Nike/Winflo 4,10 M,csafe_bpbryson,Athracite/dark grey-black,R
080478R_20180425_2_2_1_csafe_jekruse.tiff,2D Scanner,2,1,3,80,Nike/Winflo 4,10.5 M,csafe_jekruse,Black/white-dark grey,R
110978R_20180328_2_2_2_csafe_tpashek.tiff,2D Scanner,2,2,2,110,Nike/Winflo 4,8.5 W,csafe_tpashek,Black/white-dark grey,R
156914L_20180502_2_1_2_jekruse.tiff,2D Scanner,1,2,3,156,Adidas/Seeley,10 M,jekruse,Black,L
012550L_20180124_2_1_2_csafe_jekruse.tiff,2D Scanner,1,2,1,12,Nike/Winflo 4,10 M,csafe_jekruse,Binary Blue/white-black,L
063620R_20180112_2_2_1_csafe_jekruse.tiff,2D Scanner,2,1,0,63,Nike/Winflo 4,10.5 M,csafe_jekruse,Athracite/dark grey-black,R
092115R_20180509_2_1_1_tiltonm.tiff,2D Scanner,1,1,3,92,Adidas/Seeley,7 W,tiltonm,Mystery Red/Pale Nude,R
148763L_20180502_2_2_1_jekruse.tiff,2D Scanner,2,1,3,148,Nike/Winflo 4,8 W,jekruse,Black/white-dark grey,L
040683R_20180418_2_1_1_csafe_tpashek.tiff,2D Scanner,1,1,3,40,Nike/Winflo 4,8 W,csafe_tpashek,Black/white-dark grey,R
103880R_20180214_2_1_1_csafe_jekruse.tiff,2D Scanner,1,1,1,103,Nike/Winflo 4,10.5 M,csafe_jekruse,Black/white-dark grey,R
155006R_20180226_2_2_1_csafe_bpbryson.tiff,2D Scanner,2,1,1,155,Adidas/Seeley,10 M,csafe_bpbryson,Black,R
046560R_20180307_2_1_2_csafe_boekhoff.tiff,2D Scanner,1,2,2,46,Nike/Winflo 4,8.5 W,csafe_boekhoff,Glacier-grey/black-anthracite,R
097195R_20180516_2_2_2_tiltonm.tiff,2D Scanner,2,2,3,97,Nike/Winflo 4,8 W,tiltonm,Black/white-racer pink,R
039278L_20180307_2_1_2_csafe_bpbryson.tiff,2D Scanner,1,2,2,39,Nike/Winflo 4,10.5 M,csafe_bpbryson,Athracite/dark grey-black,L
103880R_20180509_2_1_2_jekruse.tiff,2D Scanner,1,2,3,103,Nike/Winflo 4,10.5 M,jekruse,Black/white-dark grey,R
112374L_20180402_2_1_2_csafe_bpbryson.tiff,2D Scanner,1,2,2,112,Nike/Winflo 4,10.5 M,csafe_bpbryson,Binary Blue/white-black,L
034323L_20180131_2_2_2_csafe_jekruse.tiff,2D Scanner,2,2,1,34,Adidas/Seeley,10 M,csafe_jekruse,Black,L
119777L_20180111_2_1_2_csafe_boekhoff.tiff,2D Scanner,1,2,0,119,Nike/Winflo 4,8.5 W,csafe_boekhoff,Black/white-dark grey,L
056968R_20180131_2_2_1_csafe_tpashek.tiff,2D Scanner,2,1,1,56,Nike/Winflo 4,8.5 W,csafe_tpashek,Black/white-racer pink,R
013609R_20171030_2_1_2_csafe_tpashek.tiff,2D Scanner,1,2,0,13,Nike/Winflo 4,8.5 W,csafe_tpashek,Glacier-grey/black-anthracite,R
037891R_20180418_2_1_1_csafe_jekruse.tiff,2D Scanner,1,1,3,37,Nike/Winflo 4,10 M,csafe_jekruse,Black/white-dark grey,R
036893R_20180307_2_1_1_csafe_boekhoff.tiff,2D Scanner,1,1,2,36,Adidas/Seeley,7.5 W,csafe_boekhoff,Grey,R
119777L_20180214_2_2_2_csafe_hanrahan.tiff,2D Scanner,2,2,1,119,Nike/Winflo 4,8.5 W,csafe_hanrahan,Black/white-dark grey,L
153585R_20180113_2_2_1_Silerio-Kruse.tiff,2D Scanner,2,1,0,153,Nike/Winflo 4,10 M,Silerio-Kruse,Black/white-dark grey,R
012352R_20180307_2_1_1_csafe_jekruse.tiff,2D Scanner,1,1,2,12,Nike/Winflo 4,10 M,csafe_jekruse,Binary Blue/white-black,R
148763L_20180221_2_1_1_csafe_tpashek.tiff,2D Scanner,1,1,1,148,Nike/Winflo 4,8 W,csafe_tpashek,Black/white-dark grey,L
092115R_20180214_2_1_1_csafe_tpashek.tiff,2D Scanner,1,1,1,92,Adidas/Seeley,7 W,csafe_tpashek,Mystery Red/Pale Nude,R
088597R_20180404_2_2_1_csafe_hanrahan.tiff,2D Scanner,2,1,2,88,Nike/Winflo 4,8 W,csafe_hanrahan,Black/white-racer pink,R
052203L_20180307_2_2_2_csafe_boekhoff.tiff,2D Scanner,2,2,2,52,Nike/Winflo 4,8 W,csafe_boekhoff,Black/white-racer pink,L
131974L_20180111_2_2_1_csafe_boekhoff.tiff,2D Scanner,2,1,0,131,Nike/Winflo 4,8 W,csafe_boekhoff,Black/white-dark grey,L
066991R_20180111_2_2_2_csafe_hanrahan.tiff,2D Scanner,2,2,0,66,Nike/Winflo 4,8.5 W,csafe_hanrahan,Black/white-dark grey,R
083929R_20180111_2_2_2_csafe_hanrahan.tiff,2D Scanner,2,2,0,83,Nike/Winflo 4,8 W,csafe_hanrahan,Black/white-racer pink,R
080592L_20180425_2_1_1_csafe_jekruse.tiff,2D Scanner,1,1,3,80,Nike/Winflo 4,10.5 M,csafe_jekruse,Black/white-dark grey,L
063912L_20180112_2_2_2_csafe_jekruse.tiff,2D Scanner,2,2,0,63,Nike/Winflo 4,10.5 M,csafe_jekruse,Athracite/dark grey-black,L
004756R_20180411_2_2_2_csafe_tpashek.tiff,2D Scanner,2,2,3,4,Nike/Winflo 4,8.5 W,csafe_tpashek,Black/white-dark grey,R
063912L_20180425_2_1_2_csafe_jekruse.tiff,2D Scanner,1,2,3,63,Nike/Winflo 4,10.5 M,csafe_jekruse,Athracite/dark grey-black,L
088621L_20180111_2_1_2_csafe_hanrahan.tiff,2D Scanner,1,2,0,88,Nike/Winflo 4,8 W,csafe_hanrahan,Black/white-racer pink,L
110978R_20180111_2_1_1_csafe_boekhoff.tiff,2D Scanner,1,1,0,110,Nike/Winflo 4,8.5 W,csafe_boekhoff,Black/white-dark grey,R
034323L_20180307_2_2_1_csafe_bpbryson.tiff,2D Scanner,2,1,2,34,Adidas/Seeley,10 M,csafe_bpbryson,Black,L
013609R_20180124_2_2_1_csafe_tpashek.tiff,2D Scanner,2,1,1,13,Nike/Winflo 4,8.5 W,csafe_tpashek,Glacier-grey/black-anthracite,R
037549L_20171113_2_2_1_csafe_bpbryson.tiff,2D Scanner,2,1,0,37,Nike/Winflo 4,10 M,csafe_bpbryson,Black/white-dark grey,L
089078L_20180321_2_1_2_csafe_jekruse.tiff,2D Scanner,1,2,2,89,Nike/Winflo 4,10.5 M,csafe_jekruse,Athracite/dark grey-black,L
002898R_20171027_2_2_1_csafe_tpashek.tiff,2D Scanner,2,1,0,2,Adidas/Seeley,7 W,csafe_tpashek,Black,R
022867R_20180305_2_1_2_csafe_bpbryson.tiff,2D Scanner,1,2,2,22,Nike/Winflo 4,10.5 M,csafe_bpbryson,Black/white-dark grey,R
051739R_20180418_2_2_1_csafe_jekruse.tiff,2D Scanner,2,1,3,51,Nike/Winflo 4,10 M,csafe_jekruse,Athracite/dark grey-black,R
065231L_20180207_2_2_2_csafe_boekhoff.tiff,2D Scanner,2,2,1,65,Nike/Winflo 4,8.5 W,csafe_boekhoff,Glacier-grey/black-anthracite,L
002054L_20180228_2_2_2_csafe_hanrahan.tiff,2D Scanner,2,2,2,2,Adidas/Seeley,7 W,csafe_hanrahan,Black,L
091173R_20180111_2_1_1_csafe_hanrahan.tiff,2D Scanner,1,1,0,91,Nike/Winflo 4,8 W,csafe_hanrahan,Black/white-dark grey,R
107614R_20180111_2_1_1_csafe_boekhoff.tiff,2D Scanner,1,1,0,107,Nike/Winflo 4,8.5 W,csafe_boekhoff,Black/white-racer pink,R
044430L_20171113_2_1_2_csafe_bpbryson.tiff,2D Scanner,1,2,0,44,Adidas/Seeley,10.5 M,csafe_bpbryson,Grey,L
021667R_20180124_2_1_1_csafe_tpashek.tiff,2D Scanner,1,1,1,21,Nike/Winflo 4,8.5 W,csafe_tpashek,Glacier-grey/black-anthracite,R
105557L_20180509_2_1_1_jekruse.tiff,2D Scanner,1,1,3,105,Nike/Winflo 4,10.5 M,jekruse,Binary Blue/white-black,L
140634L_20180111_2_2_2_csafe_boekhoff.tiff,2D Scanner,2,2,0,140,Nike/Winflo 4,8.5 W,csafe_boekhoff,Glacier-grey/black-anthracite,L
065231L_20180321_2_1_1_csafe_tpashek.tiff,2D Scanner,1,1,2,65,Nike/Winflo 4,8.5 W,csafe_tpashek,Glacier-grey/black-anthracite,L
048462L_20180319_2_1_2_csafe_bpbryson.tiff,2D Scanner,1,2,2,48,Nike/Winflo 4,10.5 M,csafe_bpbryson,Athracite/dark grey-black,L
050277R_20180131_2_1_1_csafe_jekruse.tiff,2D Scanner,1,1,1,50,Nike/Winflo 4,10 M,csafe_jekruse,Athracite/dark grey-black,R
103485L_20180509_2_1_2_jekruse.tiff,2D Scanner,1,2,3,103,Nike/Winflo 4,10.5 M,jekruse,Black/white-dark grey,L
153585R_20180226_2_1_2_csafe_bpbryson.tiff,2D Scanner,1,2,1,153,Nike/Winflo 4,10 M,csafe_bpbryson,Black/white-dark grey,R
130829R_20180502_2_2_1_jekruse.tiff,2D Scanner,2,1,3,130,Nike/Winflo 4,8.5 W,jekruse,Black/white-dark grey,R
079309R_20180207_2_1_2_csafe_jekruse.tiff,2D Scanner,1,2,1,79,Adidas/Seeley,10.5 M,csafe_jekruse,White/Bright Blue,R
001732L_20171031_2_2_2_csafe_bpbryson.tiff,2D Scanner,2,2,0,1,Nike/Winflo 4,10.5 M,csafe_bpbryson,Athracite/dark grey-black,L
056968R_20180307_2_2_2_csafe_boekhoff.tiff,2D Scanner,2,2,2,56,Nike/Winflo 4,8.5 W,csafe_boekhoff,Black/white-racer pink,R
104158L_20180509_2_2_2_jekruse.tiff,2D Scanner,2,2,3,104,Nike/Winflo 4,10.5 M,jekruse,Athracite/dark grey-black,L
073393R_20180321_2_1_1_csafe_tpashek.tiff,2D Scanner,1,1,2,73,Nike/Winflo 4,8.5 W,csafe_tpashek,Glacier-grey/black-anthracite,R
107599L_20180502_2_1_2_tiltonm.tiff,2D Scanner,1,2,3,107,Nike/Winflo 4,8.5 W,tiltonm,Black/white-racer pink,L
087785R_20180321_2_1_2_csafe_tpashek.tiff,2D Scanner,1,2,2,87,Adidas/Seeley,7.5 W,csafe_tpashek,Grey,R
082317R_20180425_2_2_1_csafe_boekhoff.tiff,2D Scanner,2,1,3,82,Nike/Winflo 4,8 W,csafe_boekhoff,Black/white-dark grey,R
