q_file_name,k_file_name,q_number,k_number,mated,q_model,k_model,q_size,k_size,q_foot,k_foot,partial_type,q_points_count,k_points_count,mean,std,0.1,0.25,0.5,0.75,0.9,kurtosis,centroid_distance_n_clusters_10,cluster_proprtion_n_clusters_10,iterations_k_n_clusters_10,wcv_ratio_n_clusters_10,centroid_distance_n_clusters_20,cluster_proprtion_n_clusters_20,iterations_k_n_clusters_20,wcv_ratio_n_clusters_20,centroid_distance_n_clusters_50,cluster_proprtion_n_clusters_50,iterations_k_n_clusters_50,wcv_ratio_n_clusters_50,centroid_distance_n_clusters_70,cluster_proprtion_n_clusters_70,iterations_k_n_clusters_70,wcv_ratio_n_clusters_70,centroid_distance_n_clusters_100,cluster_proprtion_n_clusters_100,iterations_k_n_clusters_100,wcv_ratio_n_clusters_100,q_pct_threshold_1,k_pct_threshold_1,q_pct_threshold_2,k_pct_threshold_2,q_pct_threshold_3,k_pct_threshold_3,q_pct_threshold_5,k_pct_threshold_5,q_pct_threshold_10,k_pct_threshold_10
001732L_20180124_2_1_1_csafe_jekruse.tiff,001732L_20180124_2_1_2_csafe_jekruse.tiff,1,1,TRUE,Nike/Winflo 4,Nike/Winflo 4,10.5 M,10.5 M,L,L,full,50977,47526,3.151662022623567,4.393691084732515,0.6342922378815736,1.1562201092147162,2.1280796185300828,3.624575705487103,5.897527767835843,83.3199875337357,34.45590314839257,0.00805096164627533,4,5.2229930403293e-4,39.16144295113413,0.00543137422449583,9,-3.2316062040745e-4,30.32869080629206,0.00397710630431394,12,-0.00115883681809022,20.956740758863933,0.00282776441821503,7,-0.02609696453476772,31.683437535825867,0.00247999655366106,13,0.00933835072214014,0.29476038213311884,0.3133863569414636,0.4981658394962434,0.532171863821908,0.680954155795751,0.7194798636535791,0.869823645957981,0.9012330093001726,0.962218255291602,0.9819467238984976
001351R_20180124_2_1_1_csafe_jekruse.tiff,001351R_20180124_2_1_2_csafe_jekruse.tiff,1,1,TRUE,Nike/Winflo 4,Nike/Winflo 4,10.5 M,10.5 M,R,R,full,50604,49317,3.1628112554279215,4.365584753309539,0.6092164450095087,1.1125398754307665,2.1072192693294705,3.648372368323058,5.945334156993614,73.89172499634108,52.21309434545959,0.01231616004751036,8,-0.03977112536914333,47.35404166971328,0.00657152509013237,12,-0.0469348730412952,35.95856850829485,0.00385563430607266,16,-0.00866540534092946,24.39033357941377,0.00282959323502371,8,-0.03743543140221748,25.858391737483267,0.00244418484010971,10,-0.03561770140979695,0.30444233657418385,0.30920372285418823,0.508734487392301,0.5164344952044934,0.6848865702316023,0.6930875762921508,0.8680934313493005,0.8702475819697062,0.9623745158485496,0.96133179228258
001351R_20180124_2_2_1_csafe_jekruse.tiff,001351R_20180124_2_2_2_csafe_jekruse.tiff,1,1,TRUE,Nike/Winflo 4,Nike/Winflo 4,10.5 M,10.5 M,R,R,full,46263,44615,3.101369808860381,6.025150100401363,0.5983463787050307,1.0327831941161951,1.8778539350847967,3.338348419752411,5.48754084021594,372.4439836955016,19.343793106332463,0.01328399553219176,3,0.01137207344496703,43.11351166928328,0.00723851454652835,7,0.03408870347041206,23.37347164006501,0.00410547307743009,7,-0.00266511815724857,34.76863089548682,0.00324378850237249,17,5.444868409230957e-6,21.46679385063883,0.00237160164287117,15,-0.02709997821117923,0.34074746557724317,0.35508237139975346,0.5534444372392625,0.5812843214165639,0.7200786805870782,0.7603944861593634,0.8846810626202365,0.924913145802981,0.9666039815835548,0.9860585005043148
001732L_20180124_2_2_1_csafe_jekruse.tiff,001732L_20180124_2_2_2_csafe_jekruse.tiff,1,1,TRUE,Nike/Winflo 4,Nike/Winflo 4,10.5 M,10.5 M,L,L,full,40661,37117,4.6649043815672755,10.986178719744355,0.6323208568282481,1.1784347001723312,2.1999360655261664,3.874849669277214,7.278560889808274,61.095204361847664,43.34217770044143,0.01394327366407673,4,0.10204714260918064,54.25169683031069,0.00694738824435734,11,0.09429323793476932,39.77198157752321,0.00460626824006002,11,0.06327245412725635,183.8998225062767,0.0036619248938856,7,0.04683695471980058,166.65390396776243,0.00305755220025826,10,0.07809160180422034,0.28722854824032856,0.3124174906377132,0.4874449718403384,0.5277905003098311,0.6613954403482453,0.7122612280087292,0.8346572883106662,0.8985101166581351,0.9295393620422516,0.9807635315354152
002898R_20180124_2_2_2_csafe_boekhoff.tiff,002898R_20180124_2_2_1_csafe_boekhoff.tiff,2,2,TRUE,Adidas/Seeley,Adidas/Seeley,7 W,7 W,R,R,full,63896,65090,2.2221025771621794,4.307012285941447,0.6090027104525109,0.7863716341431164,1.5426597858232032,2.6082124527944317,4.1758727002469405,2434.4623964844995,21.99867033230137,0.01366169355679088,3,-0.00739541585242911,32.02116005933199,0.00915788725767214,8,-0.01166936225823232,34.05464994317667,0.00404764154114993,9,-0.01625497191325593,29.17738172165647,0.0031308451364523,11,-0.03953965839208959,25.044884451632843,0.00235951743185076,18,-0.05302448115197144,0.3997589833479404,0.38820095252726994,0.6450795041943158,0.6391611614687356,0.8100663578314762,0.8110769703487479,0.93672530361838,0.9368105699800277,0.9851164392137224,0.9823628821631588
002898R_20180124_2_1_1_csafe_boekhoff.tiff,002898R_20180124_2_1_2_csafe_boekhoff.tiff,2,2,TRUE,Adidas/Seeley,Adidas/Seeley,7 W,7 W,R,R,full,73144,76616,1.8286597011122483,2.310867990065588,0.4800315385303565,0.8202751000773604,1.3566862359415968,2.265133402617338,3.506409307696257,595.4269748771147,136.2203866171042,0.01300298012473112,44,-0.0069385926110329,46.06458487043432,0.0037970762685026,9,-0.02556166222648176,31.14935032648673,0.0022921039221081,13,-0.04651322742018904,46.52814631272865,0.00225392899589899,40,-0.05200004198050259,35.437739807254516,0.00164266530740699,22,-0.07779117857304996,0.4646724269933282,0.4431580870836379,0.7165591162638084,0.6905476662838049,0.8642267308323307,0.8358567401065051,0.9642622771519196,0.9309413177404198,0.9943399321885596,0.962749295186384
002054L_20180124_2_1_1_csafe_boekhoff.tiff,002054L_20180124_2_1_2_csafe_boekhoff.tiff,2,2,TRUE,Adidas/Seeley,Adidas/Seeley,7 W,7 W,L,L,full,81347,83180,2.178123162644056,3.904463226351433,0.5037036260661722,0.8545719240673817,1.4375500644959518,2.407950538357218,3.7730206905971566,410.7029634576652,30.47768952808542,0.00903357105374681,5,-0.05184855163046438,32.276451872797935,0.00574015999662718,6,-0.02124505328807927,33.844313884219666,0.00311381548657851,17,-0.04734722575867446,31.690465027160627,0.00248743432073497,27,-0.03602063887118603,34.78696931963495,0.00187652294489855,23,-0.05145114017326283,0.43520965739363465,0.4225775426785285,0.6883351567974234,0.6748737677326281,0.8441860179232178,0.8280115412358741,0.9465622579812408,0.9268934840105796,0.9826053818825524,0.9640177927386392
002054L_20180124_2_2_1_csafe_boekhoff.tiff,002054L_20180124_2_2_2_csafe_boekhoff.tiff,2,2,TRUE,Adidas/Seeley,Adidas/Seeley,7 W,7 W,L,L,full,68892,68652,2.2665263826077764,5.231734218780036,0.5256337976498603,0.9060244649367076,1.5522434508770198,2.548545987466802,3.8194486650790886,2792.563302161346,16.208758971545773,0.01520476958039782,3,-0.01164243483464175,28.35857774487889,0.00888538143423288,11,-0.0334779865663951,30.19359310200573,0.00393563065453915,13,-0.00776191557609656,35.167505262464786,0.00327108347020706,25,-0.00375633088596725,48.21281696300474,0.00230405847592583,22,-0.01062366900479646,0.4002061197236254,0.40194022024121656,0.6558816698600708,0.6604760240051273,0.8304737850548685,0.8365524675173338,0.9499216164431284,0.957102487910039,0.9825669163328108,0.986540814542912
003271L_20180124_2_1_1_csafe_boekhoff.tiff,003271L_20180124_2_1_2_csafe_boekhoff.tiff,3,3,TRUE,Adidas/Seeley,Adidas/Seeley,7 W,7 W,L,L,full,87702,86263,2.7592554286149737,5.074434636753981,0.5707273744972655,0.9821063156823764,1.7351830463578333,2.8755538825139504,4.3884608037114665,121.437708834153,73.19632494895843,0.00777744348235564,19,-0.03533055636830286,72.04050063516304,0.00483789013430743,24,-0.00667012120427314,53.574118898331896,0.00314999356365427,33,-0.02683076407935504,54.98952985341873,0.00256772526259979,42,-0.010999132096321,35.78852421564056,0.00177913327774846,19,-0.00985534848861849,0.35261453558641764,0.3571171881339624,0.5943079975371143,0.6027265455641468,0.780609336161091,0.7889129754355865,0.92873594672869475,0.933865040631557,0.9677772456728468,0.973534423796993
003859R_20180124_2_1_1_csafe_boekhoff.tiff,003859R_20180124_2_1_2_csafe_boekhoff.tiff,3,3,TRUE,Adidas/Seeley,Adidas/Seeley,7 W,7 W,R,R,full,80361,83913,2.144557238665291,3.2776866356642542,0.513166408515311,0.8901550290660206,1.5226044340198246,2.5709288634410927,4.06113147063172,862.858290235227,48.5462456160784,0.01234424922155452,15,-0.00874847335634458,29.023261093074535,0.00506251993855316,10,-0.00703553169581966,50.06182423600553,0.00287392667914101,20,0.0137098508347024,37.32226111495443,0.002610758416944,22,0.00211684013788398,32.722036917660944,0.00161299621864263,24,-0.02341168047343424,0.4141685643533555,0.3949328471154648,0.6575328828660669,0.6393526628770274,0.821206804295616,0.8052625934003075,0.942297880812832,0.933728981206726,0.9885143290899816,0.9829704574976464
003271L_20180124_2_2_1_csafe_boekhoff.tiff,003271L_20180124_2_2_2_csafe_boekhoff.tiff,3,3,TRUE,Adidas/Seeley,Adidas/Seeley,7 W,7 W,L,L,full,70658,67950,6.199561688511894,12.495873311496998,0.8192554145896114,1.5544119602541642,3.065832691051014,5.484882113610785,10.76799444992772,47.66659062693838,81.53476113636287,0.00984377883687968,5,0.01938478469055219,115.82001251747592,0.00883937210867612,29,0.00330121220182226,65.65549959142105,0.006214534618023,29,-0.05880428747688629,63.368072630069435,0.00432577416553622,25,-0.03080977592840032,59.40457548453488,0.00324175123410416,26,-0.07000141083718912,0.19413229924424696,0.20054451802796175,0.3443488352345099,0.3529359823399558,0.5004670384103711,0.5099484915378956,0.7236547878513403,0.7299779249448124,0.8940955022785814,0.8929359823399559
003859R_20180124_2_2_2_csafe_boekhoff.tiff,003859R_20180124_2_2_1_csafe_boekhoff.tiff,3,3,TRUE,Adidas/Seeley,Adidas/Seeley,7 W,7 W,R,R,full,66410,64944,3.1269481619013333,6.079362618869951,0.5830001255501865,1.0181812959703551,1.839737033647844,3.151963527031429,5.209855073859012,162.66417922980668,109.86967154696649,0.02472096706410983,19,0.03117464383028677,47.50888822405025,0.00826049850814139,11,-0.00576470844763266,32.834537195508545,0.00476333353220781,11,-0.03412635791423082,34.37414319312537,0.00352308324727358,18,-0.030733783406756,33.70340860709147,0.00271039179133577,15,-0.02398047328170251,0.3392561361240777,0.3424334811529933,0.5641168498720073,0.5718465139196847,0.7395874115344074,0.7491993101749199,0.8959042312904683,0.8991438778024143,0.9607288059027256,0.9607815964523282
004888L_20180124_2_2_1_csafe_boekhoff.tiff,004888L_20180124_2_2_2_csafe_boekhoff.tiff,4,4,TRUE,Nike/Winflo 4,Nike/Winflo 4,8.5 W,8.5 W,L,L,full,44059,44459,2.630439620476786,3.7398591923930606,0.6271392278982375,1.138368361653462,2.076186506844859,3.3851158371675494,4.97561313847528,2147.3468934372354,23.57214578359008,0.01447067489208078,5,-0.08360184242511862,32.47503579696744,0.00877942202103716,11,-0.08491086180663437,15.243314185236978,0.0042486858431749,6,-0.11244644102133831,18.700428984426537,0.00320995680234226,6,-0.12896157079289847,20.60111966808971,0.00273273946195861,8,-0.1306867753420474,0.3007785015547334,0.29514833891900405,0.5164892530470505,0.5071639038214985,0.7090492294423387,0.6959670707843182,0.9083728636600922,0.8850401493510875,0.9905808120928756,0.9702647382982074
004888L_20180124_2_1_2_csafe_boekhoff.tiff,004888L_20180124_2_1_1_csafe_boekhoff.tiff,4,4,TRUE,Nike/Winflo 4,Nike/Winflo 4,8.5 W,8.5 W,L,L,full,50598,50332,2.218386918878267,3.001010560866934,0.5051496003057152,0.9140113041710484,1.5800774033429672,2.6627151478186697,4.1445277205023325,184.05918570909563,25.297542802134064,0.01068361455964953,3,-0.02101140973989547,50.950429706691914,0.00570810715246789,13,-0.02936426103197062,26.17111360966694,0.00377540353623158,9,-0.015127271188212041,20.900705780791014,0.00294099175496879,11,-0.00221718716362392,193.3876417945381,0.00243083454535484,16,0.00346585032703643,0.4039685363057828,0.402129857744576,0.6440373137278154,0.6373281411428118,0.8124827068263568,0.7993721687991735,0.9380212656626744,0.92185885718827,0.98691647891221,0.971707859810856
004756R_20180124_2_2_1_csafe_boekhoff.tiff,004756R_20180124_2_2_2_csafe_boekhoff.tiff,4,4,TRUE,Nike/Winflo 4,Nike/Winflo 4,8.5 W,8.5 W,R,R,full,43574,45670,6.535200849533389,18.257768596495765,0.7825070099002837,1.5022608458058253,2.8817042351953166,4.838730315616118,7.532264173910472,39.38699980516496,92.5517740918766,0.01369534896427047,14,0.05802418151634288,69.64782623732043,0.00770560403235726,8,0.01063023685181219,53.49223359830297,0.00471730961136856,13,0.02619630253803395,297.1630611546955,0.00350685859418349,13,-0.01159629617743883,290.2937891772543,0.00284351251678526,10,-0.01544195457735967,0.21320053242759443,0.20534267571710096,0.3718272364253913,0.363827457849792,0.5384403543397439,0.5263192467703087,0.7803047688988847,0.7633457411867747,0.938656079313352,0.9287935187212611
004756R_20180124_2_1_2_csafe_boekhoff.tiff,004756R_20180124_2_1_1_csafe_boekhoff.tiff,4,4,TRUE,Nike/Winflo 4,Nike/Winflo 4,8.5 W,8.5 W,R,R,full,46645,48739,2.6919842986592126,4.7433048351454,0.5805891165083077,1.054926352244486,1.9236357209208717,3.189745544644445,4.827733829563343,1038.045386516809,42.80293246370866,0.00955819787521543,9,0.00456093219017357,41.904593711691575,0.00697338624759614,14,-0.02789605842316888,43.19208888257801,0.00348896759001879,8,-0.04358254913786667,41.73358989142958,0.00283755621797385,17,-0.0408238109224143,39.670668901847414,0.00254367962981641,11,-0.05833084070326264,0.33201843713152535,0.313404050144648,0.5541001179118876,0.527893473399126,0.743080716046736,0.7143765772789757,0.9136884982313216,0.9009417509591908,0.9800192946725266,0.9754406122407108
007414R_20180124_2_1_2_csafe_bryson.tiff,007414R_20180124_2_1_1_csafe_bryson.tiff,7,7,TRUE,Adidas/Seeley,Adidas/Seeley,10 M,10 M,R,R,full,96052,95473,4.52683921494258,5.33798037014643,0.7872877544716829,1.4916340621954771,2.8853502687288386,5.2518474577659715,9.38577990225038,11.714918602553857,45.99421366432408,0.00487998186236648,9,-0.00284777432606319,40.58010522428444,0.00393663717802282,13,-0.00125205718708804,31.442777513357175,0.00262987082858879,11,-0.02188519448021196,50.47119781111003,0.00218568840393982,26,-0.00295765458463359,46.21312489163267,0.00191524425008223,32,0.0112615738640831,0.2078457502186316,0.2095985252375017,0.3677383084162746,0.36901532370408385,0.5320243201599134,0.5326846333518377,0.7435555740640486,0.7432467818126591,0.9089451547078664,0.9030301760707216
007961L_20180124_2_1_1_csafe_bryson.tiff,007961L_20180124_2_1_2_csafe_bryson.tiff,7,7,TRUE,Adidas/Seeley,Adidas/Seeley,10 M,10 M,L,L,full,93909,99075,2.326050360037532,4.001183812763517,0.5243581161656095,0.8994421790360346,1.5260072367057105,2.5833101862076058,4.154995010575349,1136.7909619584252,26.09459948046555,0.01300449183738392,4,-0.02498117968627778,35.903442441280546,0.008021399416763,10,-0.04648485816330722,44.24018577605502,0.00399648749439805,20,-0.0333837189425345,57.42448875628921,0.00320478864174818,31,-0.01896595159976141,34.97688540021292,0.00222749581425279,21,-0.0294861509962255,0.40895973761833265,0.39028009084027254,0.6564440043020371,0.6336109008327026,0.8162156981758937,0.7949936916477416,0.9324665367536658,0.9127226848347212,0.978883813053062,0.9637951047186476
