q_file_name,k_file_name,q_number,k_number,mated,q_model,k_model,q_size,k_size,q_foot,k_foot,partial_type,q_points_count,k_points_count,mean,std,0.1,0.25,0.5,0.75,0.9,kurtosis,centroid_distance,cluster_proprtion,iterations_q,iterations_k,wcv,q_pct,k_pct
001732L_20180418_2_2_2_csafe_jekruse.tiff,001732L_20180418_2_2_1_csafe_jekruse.tiff,1,1,True,Nike/Winflo 4,Nike/Winflo 4,10.5 M,10.5 M,L,L,heel,22366,20465,3.8940968218054977,8.631469288942512,0.8197686798949898,1.5055578780783592,2.6164323929620856,3.9633735984777387,5.499391069340998,160.06501456083154,39.63473027861323,0.012940593612363351,14,9,0.044869198685702216,0.6104801931503174,0.6534571219154655
001351R_20171031_2_1_2_csafe_bpbryson.tiff,001351R_20171031_2_1_1_csafe_bpbryson.tiff,1,1,True,Nike/Winflo 4,Nike/Winflo 4,10.5 M,10.5 M,R,R,heel,24860,25674,1.7419799256999178,2.3454025504831852,0.463609070662034,0.7935462275992992,1.2867444380714939,2.1334901655887326,3.1977561761388777,655.0829975132685,17.85072923516413,0.006851522516618609,15,5,-0.009738161923755281,0.8873290426387771,0.8719326945548025
001732L_20180418_2_1_1_csafe_jekruse.tiff,001732L_20180418_2_1_2_csafe_jekruse.tiff,1,1,True,Nike/Winflo 4,Nike/Winflo 4,10.5 M,10.5 M,L,L,heel,22735,24575,2.2571896270638163,4.833752986361643,0.5177221385951633,0.9294691212703265,1.6286518501754546,2.6882761662148935,3.99903565571397,598.7213443472432,13.217959851719256,0.004918951724659446,16,4,0.030032442102214743,0.8119639322630305,0.7734282807731434
001732L_20180124_2_1_1_csafe_jekruse.tiff,001732L_20180124_2_1_2_csafe_jekruse.tiff,1,1,True,Nike/Winflo 4,Nike/Winflo 4,10.5 M,10.5 M,L,L,heel,24249,22085,2.4740621179388254,3.0488798604052483,0.5746585398506444,0.9993110773413244,1.8045993376527973,3.1209882788424297,4.7599611317768815,247.52100491026488,13.416417610347365,0.005996996088753503,12,5,-0.005548271552583755,0.7465050105158976,0.7834276658365407
001351R_20180228_2_1_2_csafe_jekruse.tiff,001351R_20180228_2_1_1_csafe_jekruse.tiff,1,1,True,Nike/Winflo 4,Nike/Winflo 4,10.5 M,10.5 M,R,R,heel,26459,25881,2.3167155685067775,3.6468944550785856,0.5680985846763336,0.9981949924665686,1.7704881426112953,2.9499936958626076,4.325676162603631,904.1585268145585,28.82175669611553,0.006707485169960606,14,11,-0.010082965723915182,0.7792811519709739,0.778602063289672
001732L_20180228_2_1_1_csafe_jekruse.tiff,001732L_20180228_2_1_2_csafe_jekruse.tiff,1,1,True,Nike/Winflo 4,Nike/Winflo 4,10.5 M,10.5 M,L,L,heel,21477,20129,2.628257729830181,3.295204832943394,0.6952473769170632,1.1925115918734244,2.0440581341049118,3.4414476526875597,4.778531536735255,417.54443661805516,24.166821222758177,0.007059147465152876,8,10,0.0125877008560227,0.7026120966615449,0.732227134979383
001732L_20171031_2_2_2_csafe_bpbryson.tiff,001732L_20171031_2_2_1_csafe_bpbryson.tiff,1,1,True,Nike/Winflo 4,Nike/Winflo 4,10.5 M,10.5 M,L,L,heel,18429,18938,2.6860722072443592,8.204009930146853,0.621808349939239,1.0817479657443,1.9357608021487525,3.058357377376963,4.255339880192945,1819.9657482270507,37.04917622568526,0.0076670415370293414,9,11,-0.07695640019503024,0.7575017635248793,0.7350829021015947
001351R_20180124_2_1_1_csafe_jekruse.tiff,001351R_20180124_2_1_2_csafe_jekruse.tiff,1,1,True,Nike/Winflo 4,Nike/Winflo 4,10.5 M,10.5 M,R,R,heel,24758,22071,2.870069086892988,4.006905700752126,0.6420061230854773,1.1320522542260465,2.0655540273238704,3.3367743429835013,5.037932724885592,128.09072629573745,14.921218091993035,0.007517983304873489,7,5,-0.0009878048193068445,0.7160109863478472,0.7504870644737438
001732L_20180228_2_2_1_csafe_jekruse.tiff,001732L_20180228_2_2_2_csafe_jekruse.tiff,1,1,True,Nike/Winflo 4,Nike/Winflo 4,10.5 M,10.5 M,L,L,heel,22934,24434,2.200957565046343,2.901164507698372,0.49842407013853995,0.9317990065376354,1.6055676474756915,2.7181148388663057,4.154654840146527,223.56255667756105,30.904099692598358,0.007465592690138877,14,14,-0.028781023059500598,0.8048748582890032,0.7787918474257183
001732L_20171031_2_1_1_csafe_bpbryson.tiff,001732L_20171031_2_1_2_csafe_bpbryson.tiff,1,1,True,Nike/Winflo 4,Nike/Winflo 4,10.5 M,10.5 M,L,L,heel,22161,23923,2.733493150243707,8.65439678161731,0.4979084153016563,0.8664918936569642,1.5348303883232493,2.6505135657147143,4.05569324171035,175.7754066733684,31.250427011867934,0.007117510117316622,8,5,-0.10620725754469178,0.817923378908894,0.7853948083434352
