Test Scenario,Accuracy,Precision,Recall,F1 Score,AUC,Sensitivity,Specificity
BASELINE,0.9591,0.968,0.949,0.959,0.959,0.949,0.969
BLURRY_02,0.7817,1.0,0.563,0.721,0.782,0.563,1.0
BLURRY_04,0.5159,0.667,0.063,0.116,0.516,0.063,0.968
BLURRY_06,0.496,0.0,0.0,0.0,0.496,0.0,0.992
BLURRY_08,0.504,0.667,0.016,0.031,0.504,0.016,0.992
BLURRY_10,0.4921,0.333,0.016,0.03,0.492,0.016,0.968
DIFF_TIME_1VS2,0.8275,0.924,0.714,0.805,0.827,0.714,0.941
DIFF_TIME_1VS3,0.7692,0.959,0.563,0.709,0.769,0.563,0.976
TOE,0.8366,0.865,0.798,0.83,0.837,0.798,0.875
HEEL,0.6634,0.615,0.872,0.721,0.663,0.872,0.455
INSIDE,0.7938,0.801,0.782,0.791,0.794,0.782,0.805
OUTSIDE,0.751,0.722,0.817,0.766,0.751,0.817,0.685
OOD,0.724,0.749,0.674,0.709,0.724,0.674,0.774
