q,k,mated
108416L_20180214_2_1_2_csafe_tpashek.tiff,148763L_20180502_2_1_1_jekruse.tiff,False
084811L_20180221_2_1_1_csafe_hanrahan.tiff,127413L_20180502_2_2_2_jekruse.tiff,False
098084L_20180214_2_1_1_csafe_hanrahan.tiff,097136L_20180516_2_2_1_tiltonm.tiff,False
116291R_20180214_2_2_1_csafe_hanrahan.tiff,036893R_20180418_2_2_1_csafe_tpashek.tiff,False
151871L_20180226_2_1_1_csafe_bpbryson.tiff,037549L_20180418_2_1_1_csafe_jekruse.tiff,False
153585R_20180226_2_2_2_csafe_bpbryson.tiff,051739R_20180418_2_1_2_csafe_jekruse.tiff,False
107599L_20180214_2_2_2_csafe_tpashek.tiff,054359L_20180418_2_2_1_csafe_tpashek.tiff,False
130829R_20180221_2_2_1_csafe_hanrahan.tiff,107614R_20180502_2_2_1_tiltonm.tiff,False
117217L_20180214_2_2_1_csafe_hanrahan.tiff,132499L_20180425_2_1_2_jekruse.tiff,False
037891R_20180131_2_2_2_csafe_jekruse.tiff,050277R_20180418_2_1_1_csafe_jekruse.tiff,False
137513L_20180221_2_1_2_csafe_dtmartin.tiff,125567L_20180509_2_1_2_jekruse.tiff,False
148647R_20180221_2_1_1_csafe_tpashek.tiff,097195R_20180516_2_2_1_tiltonm.tiff,False
065231L_20180207_2_2_2_csafe_boekhoff.tiff,013046L_20180411_2_1_2_csafe_tpashek.tiff,False
028391R_20180124_2_2_2_csafe_boekhoff.tiff,033561R_20180509_2_1_2_tiltonm.tiff,False
090449R_20180207_2_2_1_csafe_boekhoff.tiff,119819R_20180509_2_2_1_tiltonm.tiff,False
028391R_20180124_2_1_1_csafe_boekhoff.tiff,126848R_20180509_2_1_1_jekruse.tiff,False
076650R_20180226_2_2_2_csafe_bpbryson.tiff,051739R_20180418_2_2_1_csafe_jekruse.tiff,False
104158L_20180214_2_1_2_csafe_jekruse.tiff,022065L_20180411_2_1_1_csafe_jekruse.tiff,False
050277R_20180131_2_2_2_csafe_jekruse.tiff,051739R_20180418_2_2_1_csafe_jekruse.tiff,False
023244R_20180124_2_2_1_csafe_boekhoff.tiff,075110R_20180509_2_1_2_tiltonm.tiff,False
020574R_20180124_2_2_1_csafe_tpashek.tiff,098406R_20180509_2_1_1_tiltonm.tiff,False
117875R_20180214_2_2_2_csafe_hanrahan.tiff,130829R_20180502_2_1_2_jekruse.tiff,False
019979R_20180124_2_2_1_csafe_tpashek.tiff,023244R_20180411_2_1_1_csafe_hanrahan.tiff,False
119819R_20180214_2_2_1_csafe_hanrahan.tiff,126848R_20180509_2_1_2_jekruse.tiff,False
079218L_20180207_2_1_1_csafe_jekruse.tiff,044430L_20180418_2_2_2_csafe_jekruse.tiff,False
067149R_20180207_2_1_1_csafe_boekhoff.tiff,028391R_20180411_2_1_1_csafe_tpashek.tiff,False
103485L_20180214_2_2_2_csafe_jekruse.tiff,022065L_20180411_2_1_1_csafe_jekruse.tiff,False
152997R_20180221_2_2_2_csafe_dtmartin.tiff,018311R_20180411_2_2_2_csafe_jekruse.tiff,False
028882L_20180124_2_2_2_csafe_boekhoff.tiff,132499L_20180425_2_2_2_jekruse.tiff,False
048462L_20180124_2_1_2_csafe_jekruse.tiff,039278L_20180418_2_1_2_csafe_jekruse.tiff,False
088597R_20180207_2_1_1_csafe_boekhoff.tiff,075110R_20180509_2_2_1_tiltonm.tiff,False
015307R_20180124_2_2_1_csafe_jekruse.tiff,103880R_20180509_2_2_2_jekruse.tiff,False
144088R_20180221_2_2_2_csafe_dtmartin.tiff,080478R_20180425_2_2_1_csafe_jekruse.tiff,False
079309R_20180207_2_2_1_csafe_jekruse.tiff,044022R_20180418_2_2_1_csafe_jekruse.tiff,False
052203L_20180131_2_2_2_csafe_hanrahan.tiff,083749L_20180425_2_1_1_tiltonm.tiff,False
090449R_20180207_2_1_2_csafe_boekhoff.tiff,140459R_20180502_2_1_2_jekruse.tiff,False
054987R_20180131_2_2_1_csafe_tpashek.tiff,065344R_20180418_2_2_1_csafe_hanrahan.tiff,False
126068L_20180221_2_1_1_csafe_hanrahan.tiff,046013L_20180523_2_1_1_tiltonm.tiff,False
144363L_20180221_2_1_2_csafe_dtmartin.tiff,049924L_20180418_2_2_2_csafe_jekruse.tiff,False
060465R_20180131_2_2_2_csafe_hanrahan.tiff,021667R_20180418_2_2_2_csafe_tpashek.tiff,False
016098R_20180124_2_1_2_csafe_jekruse.tiff,156625R_20180502_2_2_1_jekruse.tiff,False
088621L_20180207_2_1_1_csafe_boekhoff.tiff,081815L_20180425_2_2_1_csafe_boekhoff.tiff,False
155765L_20180226_2_1_2_csafe_bpbryson.tiff,156914L_20180502_2_2_1_jekruse.tiff,False
